NAME,BGX,XDQ,JD,DG,LH,NMQ,JC,MEK,HY,MNG,GQC,NQ,GLG,LBH,YS,XW,SQ,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,JEM,HZ,GL,DL,YZ
BGX,0,119.280978766315,261.395061919586,244.287560339448,173.363902336597,267.349400707843,247.372290996153,279.71703065258,348.1495671,429.587294381105,462.693295228374,482.8415751,471.025320512178,497.904114726056,455.86231811633,443.118951531918,421.338427638265,410.070072086397,479.236217295465,506.420180088996,520.778401228954,547.212613424405,612.146201338454,603.806264746232,692.346682861568,768.234875888938,800.603227207888,808.823167558483,848.180805971839,859.808446211364,936.838841660018
XDQ,119.280978766315,0,361.397966128577,306.359031329589,186.169242686079,243.324775072596,194.677335116952,210.652487791422,287.764831252505,343.749034355977,555.622906079571,570.084326228121,556.724647047231,580.004783774513,536.717454953882,517.446575710935,489.232869796073,384.002571451753,419.044402234329,452.494861767358,470.529651789906,523.802165962737,574.894996224003,549.136805870231,645.99203430682,757.125341621011,809.688698036394,781.117918893067,814.60614417922,849.004696839186,927.893994895687
JD,261.395061919586,361.397966128577,0,133.512540052331,241.750227952252,321.679899924512,359.48608824433,403.900423655645,434.268481807831,548.180135457106,202.511149382589,226.957516171792,217.228742638234,247.66606920193,209.611624958054,209.605343660201,204.469370044018,409.55312286007,533.964136363622,542.747526235534,546.630652547896,509.978436257284,595.466983562757,627.155377399897,686.664049154249,677.175353551151,664.490550477533,750.7305577,800.264543640235,761.277514168744,829.776105117648
DG,244.287560339448,306.359031329589,133.512540052331,0,138.122540588304,195.133607043513,243.945344291323,287.400657036944,306.752680267201,422.943318176418,268.046285598391,273.173962800131,258.423741617243,277.724787304604,234.323554436266,211.764294648009,182.957546211151,276.479667490606,400.886441323606,409.237142944967,413.314559471238,383.471864669612,466.624361181819,494.313478443254,557.14141011041,569.279029426203,576.861328474122,632.927162437084,680.224751802977,657.317863110755,730.014327010214
LH,173.363902336597,186.169242686079,241.750227952252,138.122540588304,0,102.778084755012,119.03967,163.215108107089,206.477095004737,312.830468496836,405.470540124559,411.260640886674,396.430556052395,414.762732094269,371.525253824431,346.47064291353,313.888860493962,239.230594824033,327.122647479775,348.007174975415,359.317678629248,374.482910347248,442.529702877292,443.442615388049,525.831550860992,595.331714354622,633.401596244141,636.024854439395,676.33834954075,687.056153069753,764.462461279065
NMQ,267.349400707843,243.324775072596,321.679899924512,195.133607043513,102.778084755012,0,69.7477010348863,103.057897285421,112.589708612051,227.85049506672,454.02837728464,450.892471227647,435.131879073743,446.598108739164,405.59597022945,373.775287760799,335.807728013915,144.254813678274,224.972193987948,245.24284779451,256.906040619472,283.765764260785,344.863877736124,340.952248699965,425.57022667809,514.231133412256,568.690361411545,544.422447795744,581.930563598618,606.193815841408,684.90492181668
JC,247.372290996153,194.677335116952,359.48608824433,243.945344291323,119.03967,69.7477010348863,0,44.4143367676215,100.780738265899,195.301453734724,510.050739555941,510.279346442054,494.749454338319,508.482203019994,466.545266480007,436.493008071426,399.629664555379,192.41205089226,232.474390404844,262.049354526122,278.47986283388,330.970561552847,380.30355245574,359.587894175095,453.285087172595,566.714233047489,630.009773585937,586.603325153188,619.977687221842,658.179395352944,737.403739658444
MEK,279.71703065258,210.652487791422,403.900423655645,287.400657036944,163.215108107089,103.057897285421,44.4143367676215,0,77.790792634897,153.844718029477,552.417827521774,551.479144006239,535.842233893407,548.503983528306,507.016906932653,475.99885200126,438.414718444508,197.005222250122,208.407259216577,242.272881507886,261.057285150786,329.959717623308,369.620759575483,338.549967030944,436.48804836414,567.53320531032,639.76127833954,578.696024044787,608.800496180127,658.034891035154,737.397246279908
HY,348.1495671,287.764831252505,434.268481807831,306.752680267201,206.477095004737,112.589708612051,100.780738265899,77.790792634897,0,117.329816822633,559.488797652733,552.773333440733,536.855319666943,544.924221610284,505.794409376437,471.540079908069,432.102527037813,135.728671238969,132.428978319991,164.740426411007,183.274890038363,258.548850193198,292.643954522899,261.518574990835,358.732953720965,495.843880226452,575.750815419909,502.234085425814,531.406703124835,585.392266416838,664.668434566747
MNG,429.587294381105,343.749034355977,548.180135457106,422.943318176418,312.830468496836,227.85049506672,195.301453734724,153.844718029477,117.329816822633,0,676.686343905483,669.339240440067,653.406683607542,660.558332683939,622.031482382148,587.214543610812,547.506757307537,224.680921861669,129.692551756818,170.458639099626,193.760913508317,309.341168039604,309.811480806528,244.657564322094,349.203466491826,533.367867056784,633.587952707028,514.155943143575,532.10438848446,616.849701677176,694.217694478447
