NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,3.540737631,3.173816851,2.260110308,4.410902937,4.526572776,4.235200473,4.765237014,3.943278082,4.09673015,3.891132759,6.874922474,1.813378275,2.763176226,2.661266201,2.956548547,2.470564152,2.868232446,2.678533371,2.722083052,2.797755122,2.803453719,2.94609222,3.009832046,2.962841371,3.045909061,4.156945036,3.852875965,4.047434909,4.634236361,5.792643199
JD,3.540737631,0,3.466757723,3.560292648,3.827448552,3.999068011,3.711346969,4.284435037,3.470900851,3.700986524,3.626998768,7.84427026,3.702315923,3.971574403,4.00195001,4.275010942,3.701285715,4.095047978,3.811077427,3.895378392,3.957697563,3.954090849,4.045732588,4.129486667,4.102041379,4.170478048,5.221342098,4.947810012,5.149782174,5.681795859,6.82196904
DG,3.173816851,3.466757723,0,2.8084526,4.176655378,4.266794371,3.967250163,4.492275674,3.636268204,3.7548965,3.480668179,7.201007798,3.187121419,3.218206557,3.305034828,3.581411191,2.988595015,3.390668882,3.076480746,3.181798864,3.243187351,3.239649062,3.329709987,3.419484201,3.392147821,3.463484739,4.533294196,4.249194994,4.44992912,5.003844684,6.15411799
LH,2.260110308,3.560292648,2.8084526,0,4.274150576,4.36932978,4.07481041,4.593665004,3.761949035,3.892364982,3.649246535,6.398177533,2.108703626,2.134202279,2.171292117,2.510066705,1.976141206,2.398163252,2.146349414,2.22386894,2.295996284,2.300349308,2.435989975,2.507273327,2.463824074,2.54722201,3.662894569,3.355807419,3.550643641,4.144502812,5.307035247
GQC,4.410902937,3.827448552,4.176655378,4.274150576,0,2.019535891,1.856127919,2.627534668,2.201940852,2.759014871,3.08468457,8.238722064,4.479139472,4.600515248,4.656456347,4.91251915,4.306699282,4.690857137,4.381019512,4.469673,4.525422869,4.516609574,4.581800561,4.670907905,4.654175819,4.711848412,5.711499553,5.464888043,5.672133206,6.153021067,7.273560714
NQ,4.526572776,3.999068011,4.266794371,4.36932978,2.019535891,0,1.411061921,2.166399211,2.04353786,2.66964401,3.043978024,8.308382898,4.584583335,4.687747831,4.746938625,5.001419499,4.392181177,4.775588941,4.462535266,4.552158945,4.607256739,4.597949551,4.660317434,4.75039688,4.734722949,4.791532836,5.787583957,5.542835788,5.75052866,6.228244071,7.347940265
GLG,4.235200473,3.711346969,3.967250163,4.07481041,1.856127919,1.411061921,0,1.963332792,1.647053302,2.321339911,2.714792666,8.018908095,4.292120154,4.393089,4.452876862,4.707434771,4.09806876,4.481666354,4.168108026,4.258208681,4.313327977,4.304057353,4.366425719,4.456777827,4.4410476,4.498046492,5.49532764,5.249902634,5.457511045,5.936669867,7.057062975
LBH,4.765237014,4.284435037,4.492275674,4.593665004,2.627534668,2.166399211,1.963332792,0,2.1352422,2.772507991,3.173698705,8.508056875,4.815600711,4.905388187,4.966811312,5.219889517,4.607883562,4.990519935,4.675113845,4.765228835,4.819763515,4.810016218,4.869970656,4.960727872,4.945986629,5.001955789,5.994266715,5.751477087,5.959599327,6.433837558,7.552455661
YS,3.943278082,3.470900851,3.636268204,3.761949035,2.201940852,2.04353786,1.647053302,2.1352422,0,1.674191912,2.189662029,7.709086127,3.991156694,4.075358307,4.138839984,4.39279692,3.781193533,4.165019299,3.848069693,3.940281448,3.995127069,3.985716723,4.046606057,4.138367593,4.123006393,4.180174871,5.179616399,4.932936962,5.140499178,5.622723364,6.744922884
XW,4.09673015,3.700986524,3.7548965,3.892364982,2.759014871,2.66964401,2.321339911,2.772507991,1.674191912,0,1.955349017,7.83746417,4.133906515,4.198709903,4.266382521,4.519355563,3.904858433,4.288744136,3.967725346,4.062298488,4.116743948,4.107099848,4.165951392,4.259348446,4.244553996,4.301743383,5.302783656,5.055126129,5.262713112,5.747503035,6.871322686
