NAME,BGX,DG,DL,DY,GL,GLG,GQC,HH,HN,HY,HZ,JC,JD,JEM,JZ,JZX,LH,LT,LX,MEK,MNG,NQ,NMQ,LBH,RK,SQ,XDQ,XH,XW,YS,YZ
BGX,0,0.38932,0.7329,0.64811,0.61618,0.61973,0.63509,0.50754,0.51522,0.56174,0.64585,0.58169,0.53618,0.63998,0.47572,0.57493,0.44538,0.43448,0.59486,0.54554,0.61512,0.59647,0.57009,0.59884,0.54882,0.48142,0.55703,0.53923,0.58434,0.54575,0.79958
DG,0.38932,0,0.50656,0.49138,0.46383,0.32736,0.36655,0.27816,0.31249,0.28317,0.50058,0.38498,0.27485,0.46246,0.29521,0.28188,0.11924,0.30894,0.3929,0.40672,0.23539,0.29194,0.2795,0.29352,0.11696,0.23108,0.1326,0.31717,0.23333,0.28912,0.64184
DL,0.7329,0.50656,0,0.09635,0.37518,0.64913,0.70097,0.4013,0.40105,0.4471,0.11835,0.53918,0.61616,0.21697,0.39995,0.4452,0.493,0.25362,0.32709,0.4823,0.46101,0.65059,0.51472,0.65311,0.45082,0.57372,0.57731,0.3718,0.65382,0.62303,0.61203
DY,0.64811,0.49138,0.09635,0,0.37737,0.58621,0.65041,0.34528,0.37088,0.37019,0.16414,0.51208,0.58218,0.19147,0.3854,0.39224,0.46242,0.29948,0.33308,0.48398,0.33389,0.57707,0.45124,0.57639,0.31957,0.53166,0.46921,0.34267,0.5649,0.57781,0.54684
GL,0.61618,0.46383,0.37518,0.37737,0,0.54764,0.61487,0.32247,0.33747,0.33599,0.26362,0.46293,0.56132,0.36995,0.35059,0.31844,0.42144,0.25808,0.24393,0.44616,0.29334,0.53788,0.42788,0.53081,0.23301,0.50301,0.42086,0.25917,0.51084,0.54662,0.5472
GLG,0.61973,0.32736,0.64913,0.58621,0.54764,0,0.10806,0.42767,0.41159,0.47447,0.5772,0.52576,0.27199,0.57286,0.41777,0.46128,0.36736,0.37835,0.50938,0.49826,0.46934,0.11585,0.49305,0.12477,0.38476,0.18202,0.494,0.43639,0.24982,0.08113,0.73839
GQC,0.63509,0.36655,0.70097,0.65041,0.61487,0.10806,0,0.48746,0.48131,0.53812,0.63936,0.57983,0.25804,0.62993,0.47645,0.54643,0.38392,0.45361,0.59578,0.55933,0.55309,0.10594,0.55152,0.18323,0.44433,0.22908,0.52604,0.52518,0.28755,0.13969,0.77197
HH,0.50754,0.27816,0.4013,0.34528,0.32247,0.42767,0.48746,0,0.10471,0.0732,0.35339,0.27594,0.40902,0.32698,0.05476,0.04111,0.23667,0.03787,0.2018,0.19057,0.10685,0.40812,0.2107,0.41322,-0.06156,0.33491,0.27236,0.0965,0.37483,0.41999,0.57254
HN,0.51522,0.31249,0.40105,0.37088,0.33747,0.41159,0.48131,0.10471,0,0.11033,0.38538,0.32525,0.41514,0.34853,0.15687,0.10793,0.25528,0.10514,0.20442,0.27064,0.11839,0.3704,0.27186,0.38345,-0.07766,0.35849,0.27648,0.05733,0.32595,0.39133,0.56978
HY,0.56174,0.28317,0.4471,0.37019,0.33599,0.47447,0.53812,0.0732,0.11033,0,0.37972,0.26639,0.43508,0.35131,0.04115,0.11839,0.25986,0.03453,0.21327,0.154,0.15028,0.45622,0.23077,0.46022,-0.02413,0.36527,0.33661,0.12622,0.43641,0.44762,0.61559
HZ,0.64585,0.50058,0.11835,0.16414,0.26362,0.5772,0.63936,0.35339,0.38538,0.37972,0,0.50344,0.5857,0.2339,0.412,0.38307,0.46431,0.30745,0.30866,0.4857,0.36375,0.55265,0.48466,0.55412,0.30253,0.52773,0.45495,0.33209,0.54561,0.57321,0.55339
JC,0.58169,0.38498,0.53918,0.51208,0.46293,0.52576,0.57983,0.27594,0.32525,0.26639,0.50344,0,0.5055,0.47965,0.27054,0.26854,0.33973,0.26837,0.36527,0.35857,0.24616,0.51216,0.34371,0.50432,0.20406,0.45267,0.36254,0.3138,0.47973,0.49722,0.66905
JD,0.53618,0.27485,0.61616,0.58218,0.56132,0.27199,0.25804,0.40902,0.41514,0.43508,0.5857,0.5055,0,0.56654,0.40803,0.43282,0.29294,0.40566,0.50396,0.50357,0.41286,0.22119,0.45682,0.26567,0.29239,0.23336,0.38766,0.43919,0.24075,0.23187,0.71825
JEM,0.63998,0.46246,0.21697,0.19147,0.36995,0.57286,0.62993,0.32698,0.34853,0.35131,0.2339,0.47965,0.56654,0,0.34265,0.3634,0.43386,0.27394,0.31845,0.4554,0.32457,0.56859,0.43074,0.56862,0.3048,0.50531,0.45619,0.30599,0.54988,0.55899,0.56565
JZ,0.47572,0.29521,0.39995,0.3854,0.35059,0.41777,0.47645,0.05476,0.15687,0.04115,0.412,0.27054,0.40803,0.34265,0,0.1002,0.24498,0.14117,0.25758,0.21226,0.07934,0.36194,0.21507,0.35855,-0.09595,0.33583,0.21513,0.12998,0.31999,0.39272,0.5552
JZX,0.57493,0.28188,0.4452,0.39224,0.31844,0.46128,0.54643,0.04111,0.10793,0.11839,0.38307,0.26854,0.43282,0.3634,0.1002,0,0.23285,-0.03207,0.20632,0.19323,0.14634,0.43038,0.26737,0.44292,0.01923,0.35216,0.34582,0.05225,0.43606,0.43063,0.62529
LH,0.44538,0.11924,0.493,0.46242,0.42144,0.36736,0.38392,0.23667,0.25528,0.25986,0.46431,0.33973,0.29294,0.43386,0.24498,0.23285,0,0.23368,0.35364,0.33476,0.20472,0.30604,0.26574,0.34034,0.05225,0.22882,0.17748,0.2307,0.21139,0.28599,0.63132
LT,0.43448,0.30894,0.25362,0.29948,0.25808,0.37835,0.45361,0.03787,0.10514,0.03453,0.30745,0.26837,0.40566,0.27394,0.14117,-0.03207,0.23368,0,0.08625,0.24831,-0.0587,0.34202,0.19332,0.35046,-0.24452,0.33502,0.1591,-0.07099,0.24348,0.37187,0.48546
LX,0.59486,0.3929,0.32709,0.33308,0.24393,0.50938,0.59578,0.2018,0.20442,0.21327,0.30866,0.36527,0.50396,0.31845,0.25758,0.20632,0.35364,0.08625,0,0.34606,0.19673,0.47558,0.38041,0.49579,0.08129,0.42913,0.38477,0.09509,0.46806,0.47961,0.5613
MEK,0.54554,0.40672,0.4823,0.48398,0.44616,0.49826,0.55933,0.19057,0.27064,0.154,0.4857,0.35857,0.50357,0.4554,0.21226,0.19323,0.33476,0.24831,0.34606,0,0.15542,0.46237,0.2926,0.46285,0.03335,0.4275,0.32729,0.23172,0.41575,0.48191,0.6348
MNG,0.61512,0.23539,0.46101,0.33389,0.29334,0.46934,0.55309,0.10685,0.11839,0.15028,0.36375,0.24616,0.41286,0.32457,0.07934,0.14634,0.20472,-0.0587,0.19673,0.15542,0,0.42684,0.29994,0.45252,0.12234,0.34575,0.39928,0.13523,0.44641,0.424,0.64217
NQ,0.59647,0.29194,0.65059,0.57707,0.53788,0.11585,0.10594,0.40812,0.3704,0.45622,0.55265,0.51216,0.22119,0.56859,0.36194,0.43038,0.30604,0.34202,0.47558,0.46237,0.42684,0,0.44644,0.14757,0.37032,0.19931,0.47197,0.43235,0.25199,0.11297,0.7359
NMQ,0.57009,0.2795,0.51472,0.45124,0.42788,0.49305,0.55152,0.2107,0.27186,0.23077,0.48466,0.34371,0.45682,0.43074,0.21507,0.26737,0.26574,0.19332,0.38041,0.2926,0.29994,0.44644,0,0.4552,0.15871,0.38125,0.29996,0.26796,0.43142,0.45005,0.65977
LBH,0.59884,0.29352,0.65311,0.57639,0.53081,0.12477,0.18323,0.41322,0.38345,0.46022,0.55412,0.50432,0.26567,0.56862,0.35855,0.44292,0.34034,0.35046,0.49579,0.46285,0.45252,0.14757,0.4552,0,0.35036,0.19337,0.4747,0.4262,0.25305,0.10388,0.72638
RK,0.54882,0.11696,0.45082,0.31957,0.23301,0.38476,0.44433,-0.06156,-0.07766,-0.02413,0.30253,0.20406,0.29239,0.3048,-0.09595,0.01923,0.05225,-0.24452,0.08129,0.03335,0.12234,0.37032,0.15871,0.35036,0,0.19164,0.30709,0.04744,0.36113,0.31459,0.62675
