NAME,BGX,XDQ,DG,LH,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT
BGX,0,119.280978766315,244.287560339448,173.363902336597,267.349400707843,247.372290996153,279.71703065258,348.1495671,429.587294381105,410.070072086397,479.236217295465,506.420180088996,520.778401228954,547.212613424405,612.146201338454,603.806264746232
XDQ,119.280978766315,0,306.359031329589,186.169242686079,243.324775072596,194.677335116952,210.652487791422,287.764831252505,343.749034355977,384.002571451753,419.044402234329,452.494861767358,470.529651789906,523.802165962737,574.894996224003,549.136805870231
DG,244.287560339448,306.359031329589,0,138.122540588304,195.133607043513,243.945344291323,287.400657036944,306.752680267201,422.943318176418,276.479667490606,400.886441323606,409.237142944967,413.314559471238,383.471864669612,466.624361181819,494.313478443254
LH,173.363902336597,186.169242686079,138.122540588304,0,102.778084755012,119.03967,163.215108107089,206.477095004737,312.830468496836,239.230594824033,327.122647479775,348.007174975415,359.317678629248,374.482910347248,442.529702877292,443.442615388049
NMQ,267.349400707843,243.324775072596,195.133607043513,102.778084755012,0,69.7477010348863,103.057897285421,112.589708612051,227.85049506672,144.254813678274,224.972193987948,245.24284779451,256.906040619472,283.765764260785,344.863877736124,340.952248699965
JC,247.372290996153,194.677335116952,243.945344291323,119.03967,69.7477010348863,0,44.4143367676215,100.780738265899,195.301453734724,192.41205089226,232.474390404844,262.049354526122,278.47986283388,330.970561552847,380.30355245574,359.587894175095
MEK,279.71703065258,210.652487791422,287.400657036944,163.215108107089,103.057897285421,44.4143367676215,0,77.790792634897,153.844718029477,197.005222250122,208.407259216577,242.272881507886,261.057285150786,329.959717623308,369.620759575483,338.549967030944
HY,348.1495671,287.764831252505,306.752680267201,206.477095004737,112.589708612051,100.780738265899,77.790792634897,0,117.329816822633,135.728671238969,132.428978319991,164.740426411007,183.274890038363,258.548850193198,292.643954522899,261.518574990835
MNG,429.587294381105,343.749034355977,422.943318176418,312.830468496836,227.85049506672,195.301453734724,153.844718029477,117.329816822633,0,224.680921861669,129.692551756818,170.458639099626,193.760913508317,309.341168039604,309.811480806528,244.657564322094
JZ,410.070072086397,384.002571451753,276.479667490606,239.230594824033,144.254813678274,192.41205089226,197.005222250122,135.728671238969,224.680921861669,0,139.800273446052,136.327262322614,137.385615301947,139.989419892744,203.416591987309,217.896965661617
RK,479.236217295465,419.044402234329,400.886441323606,327.122647479775,224.972193987948,232.474390404844,208.407259216577,132.428978319991,129.692551756818,139.800273446052,0,41.2031062579299,64.4269617142273,183.384850447054,181.347435048436,130.788837038638
HH,506.420180088996,452.494861767358,409.237142944967,348.007174975415,245.24284779451,262.049354526122,242.272881507886,164.740426411007,170.458639099626,136.327262322614,41.2031062579299,0,23.306948080276,148.094045465438,140.148857894105,97.5844608835155
JZX,520.778401228954,470.529651789906,413.314559471238,359.317678629248,256.906040619472,278.47986283388,261.057285150786,183.274890038363,193.760913508317,137.385615301947,64.4269617142273,23.306948080276,0,128.188755882815,117.051344824961,84.1565565451248
HN,547.212613424405,523.802165962737,383.471864669612,374.482910347248,283.765764260785,330.970561552847,329.959717623308,258.548850193198,309.341168039604,139.989419892744,183.384850447054,148.094045465438,128.188755882815,0,89.2320325955234,159.39634892265
XH,612.146201338454,574.894996224003,466.624361181819,442.529702877292,344.863877736124,380.30355245574,369.620759575483,292.643954522899,309.811480806528,203.416591987309,181.347435048436,140.148857894105,117.051344824961,89.2320325955234,0,93.987676702986
LT,603.806264746232,549.136805870231,494.313478443254,443.442615388049,340.952248699965,359.587894175095,338.549967030944,261.518574990835,244.657564322094,217.896965661617,130.788837038638,97.5844608835155,84.1565565451248,159.39634892265,93.987676702986,0
