NAME,BGX,XDQ,DG,LH,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT
BGX,0,0.135189,0.116807,0.143515,0.308085,0.142106,0.474665,0.144524,0.144524,0.144331,0.126483,0.137624,0.144524,0.106785,0.144523,0.144288
XDQ,0.135189,0,0.018382,0.00832599999999994,0.443274,0.277295,0.609854,0.00933499999999998,0.00933499999999998,0.00914199999999998,0.00870599999999999,0.00243499999999996,0.00933499999999998,0.028404,0.00933399999999995,0.00909899999999997
DG,0.116807,0.018382,0,0.026708,0.424892,0.258913,0.591472,0.027717,0.027717,0.027524,0.00967600000000002,0.020817,0.027717,0.010022,0.027716,0.027481
LH,0.143515,0.00832599999999994,0.026708,0,0.4516,0.285621,0.61818,0.00100900000000004,0.00100900000000004,0.000816000000000039,0.0170319999999999,0.00589099999999998,0.00100900000000004,0.0367299999999999,0.00100800000000001,0.000773000000000024
NMQ,0.308085,0.443274,0.424892,0.4516,0,0.165979,0.16658,0.452609,0.452609,0.452416,0.434568,0.445709,0.452609,0.41487,0.452608,0.452373
JC,0.142106,0.277295,0.258913,0.285621,0.165979,0,0.332559,0.28663,0.28663,0.286437,0.268589,0.27973,0.28663,0.248891,0.286629,0.286394
MEK,0.474665,0.609854,0.591472,0.61818,0.16658,0.332559,0,0.619189,0.619189,0.618996,0.601148,0.612289,0.619189,0.58145,0.619188,0.618953
HY,0.144524,0.00933499999999998,0.027717,0.00100900000000004,0.452609,0.28663,0.619189,0,0,0.000192999999999999,0.018041,0.00690000000000002,0,0.037739,1.00000000002876e-06,0.000236000000000014
MNG,0.144524,0.00933499999999998,0.027717,0.00100900000000004,0.452609,0.28663,0.619189,0,0,0.000192999999999999,0.018041,0.00690000000000002,0,0.037739,1.00000000002876e-06,0.000236000000000014
JZ,0.144331,0.00914199999999998,0.027524,0.000816000000000039,0.452416,0.286437,0.618996,0.000192999999999999,0.000192999999999999,0,0.017848,0.00670700000000002,0.000192999999999999,0.037546,0.00019199999999997,4.30000000000152e-05
RK,0.126483,0.00870599999999999,0.00967600000000002,0.0170319999999999,0.434568,0.268589,0.601148,0.018041,0.018041,0.017848,0,0.011141,0.018041,0.019698,0.0180399999999999,0.017805
HH,0.137624,0.00243499999999996,0.020817,0.00589099999999998,0.445709,0.27973,0.612289,0.00690000000000002,0.00690000000000002,0.00670700000000002,0.011141,0,0.00690000000000002,0.0308389999999999,0.00689899999999999,0.006664
JZX,0.144524,0.00933499999999998,0.027717,0.00100900000000004,0.452609,0.28663,0.619189,0,0,0.000192999999999999,0.018041,0.00690000000000002,0,0.037739,1.00000000002876e-06,0.000236000000000014
HN,0.106785,0.028404,0.010022,0.0367299999999999,0.41487,0.248891,0.58145,0.037739,0.037739,0.037546,0.019698,0.0308389999999999,0.037739,0,0.0377379999999999,0.037503
XH,0.144523,0.00933399999999995,0.027716,0.00100800000000001,0.452608,0.286629,0.619188,1.00000000002876e-06,1.00000000002876e-06,0.00019199999999997,0.0180399999999999,0.00689899999999999,1.00000000002876e-06,0.0377379999999999,0,0.000234999999999985
LT,0.144288,0.00909899999999997,0.027481,0.000773000000000024,0.452373,0.286394,0.618953,0.000236000000000014,0.000236000000000014,4.30000000000152e-05,0.017805,0.006664,0.000236000000000014,0.037503,0.000234999999999985,0
