NAME,BGX,DG,LH,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT
BGX,0,3.173816851,2.260110308,1.813378275,2.763176226,2.661266201,2.956548547,2.470564152,2.868232446,2.678533371,2.722083052,2.797755122,2.803453719,2.94609222,3.009832046,2.962841371
DG,3.173816851,0,2.8084526,3.187121419,3.218206557,3.305034828,3.581411191,2.988595015,3.390668882,3.076480746,3.181798864,3.243187351,3.239649062,3.329709987,3.419484201,3.392147821
LH,2.260110308,2.8084526,0,2.108703626,2.134202279,2.171292117,2.510066705,1.976141206,2.398163252,2.146349414,2.22386894,2.295996284,2.300349308,2.435989975,2.507273327,2.463824074
XDQ,1.813378275,3.187121419,2.108703626,0,2.499163297,2.315747289,2.596451543,2.154680656,2.544219246,2.407551155,2.425809499,2.507056207,2.516231227,2.677448484,2.732261754,2.677995255
NMQ,2.763176226,3.218206557,2.134202279,2.499163297,0,2.100290663,2.412089977,1.791715062,2.262484947,1.965079329,2.063890721,2.136723456,2.143280233,2.295745546,2.363146226,2.316095704
JC,2.661266201,3.305034828,2.171292117,2.315747289,2.100290663,0,2.084151396,1.718180798,2.18288062,2.05229421,2.055305565,2.14189265,2.155693181,2.342181204,2.388241469,2.326975312
MEK,2.956548547,3.581411191,2.510066705,2.596451543,2.412089977,2.084151396,0,1.738216347,2.200134256,2.179359933,2.121616509,2.218237277,2.237510833,2.450015794,2.481114674,2.409244865
HY,2.470564152,2.988595015,1.976141206,2.154680656,1.791715062,1.718180798,1.738216347,0,1.422569385,1.36896282,1.265625729,1.369414892,1.394854641,1.634198399,1.656019199,1.579182927
MNG,2.868232446,3.390668882,2.398163252,2.544219246,2.262484947,2.18288062,2.200134256,1.422569385,0,1.74959084,1.432685593,1.570920584,1.604935681,1.895435447,1.858879587,1.732022218
JZ,2.678533371,3.076480746,2.146349414,2.407551155,1.965079329,2.05229421,2.179359933,1.36896282,1.74959084,0,1.414536061,1.450904161,1.439819035,1.547776382,1.652508246,1.629280785
RK,2.722083052,3.181798864,2.22386894,2.425809499,2.063890721,2.055305565,2.121616509,1.265625729,1.432685593,1.414536061,0,0.965074416,1.090911229,1.495815531,1.445070157,1.318167969
HH,2.797755122,3.243187351,2.295996284,2.507056207,2.136723456,2.14189265,2.218237277,1.369414892,1.570920584,1.450904161,0.965074416,0,0.93477698,1.481815383,1.418508031,1.298482152
JZX,2.803453719,3.239649062,2.300349308,2.516231227,2.143280233,2.155693181,2.237510833,1.394854641,1.604935681,1.439819035,1.090911229,0.93477698,0,1.414180024,1.326357178,1.210086914
HN,2.94609222,3.329709987,2.435989975,2.677448484,2.295745546,2.342181204,2.450015794,1.634198399,1.895435447,1.547776382,1.495815531,1.481815383,1.414180024,0,1.35660836,1.48931651
XH,3.009832046,3.419484201,2.507273327,2.732261754,2.363146226,2.388241469,2.481114674,1.656019199,1.858879587,1.652508246,1.445070157,1.418508031,1.326357178,1.35660836,0,1.242887321
LT,2.962841371,3.392147821,2.463824074,2.677995255,2.316095704,2.326975312,2.409244865,1.579182927,1.732022218,1.629280785,1.318167969,1.298482152,1.210086914,1.48931651,1.242887321,0
