NAME,BGX,DG,HH,HN,HY,JC,JZ,JZX,LH,LT,MEK,MNG,NMQ,RK,XDQ,XH
BGX,0,0.38932,0.50754,0.51522,0.56174,0.58169,0.47572,0.57493,0.44538,0.43448,0.54554,0.61512,0.57009,0.54882,0.55703,0.53923
DG,0.38932,0,0.27816,0.31249,0.28317,0.38498,0.29521,0.28188,0.11924,0.30894,0.40672,0.23539,0.2795,0.11696,0.1326,0.31717
HH,0.50754,0.27816,0,0.10471,0.0732,0.27594,0.05476,0.04111,0.23667,0.03787,0.19057,0.10685,0.2107,-0.06156,0.27236,0.0965
HN,0.51522,0.31249,0.10471,0,0.11033,0.32525,0.15687,0.10793,0.25528,0.10514,0.27064,0.11839,0.27186,-0.07766,0.27648,0.05733
HY,0.56174,0.28317,0.0732,0.11033,0,0.26639,0.04115,0.11839,0.25986,0.03453,0.154,0.15028,0.23077,-0.02413,0.33661,0.12622
JC,0.58169,0.38498,0.27594,0.32525,0.26639,0,0.27054,0.26854,0.33973,0.26837,0.35857,0.24616,0.34371,0.20406,0.36254,0.3138
JZ,0.47572,0.29521,0.05476,0.15687,0.04115,0.27054,0,0.1002,0.24498,0.14117,0.21226,0.07934,0.21507,-0.09595,0.21513,0.12998
JZX,0.57493,0.28188,0.04111,0.10793,0.11839,0.26854,0.1002,0,0.23285,-0.03207,0.19323,0.14634,0.26737,0.01923,0.34582,0.05225
LH,0.44538,0.11924,0.23667,0.25528,0.25986,0.33973,0.24498,0.23285,0,0.23368,0.33476,0.20472,0.26574,0.05225,0.17748,0.2307
LT,0.43448,0.30894,0.03787,0.10514,0.03453,0.26837,0.14117,-0.03207,0.23368,0,0.24831,-0.0587,0.19332,-0.24452,0.1591,-0.07099
MEK,0.54554,0.40672,0.19057,0.27064,0.154,0.35857,0.21226,0.19323,0.33476,0.24831,0,0.15542,0.2926,0.03335,0.32729,0.23172
MNG,0.61512,0.23539,0.10685,0.11839,0.15028,0.24616,0.07934,0.14634,0.20472,-0.0587,0.15542,0,0.29994,0.12234,0.39928,0.13523
NMQ,0.57009,0.2795,0.2107,0.27186,0.23077,0.34371,0.21507,0.26737,0.26574,0.19332,0.2926,0.29994,0,0.15871,0.29996,0.26796
RK,0.54882,0.11696,-0.06156,-0.07766,-0.02413,0.20406,-0.09595,0.01923,0.05225,-0.24452,0.03335,0.12234,0.15871,0,0.30709,0.04744
XDQ,0.55703,0.1326,0.27236,0.27648,0.33661,0.36254,0.21513,0.34582,0.17748,0.1591,0.32729,0.39928,0.29996,0.30709,0,0.30942
XH,0.53923,0.31717,0.0965,0.05733,0.12622,0.3138,0.12998,0.05225,0.2307,-0.07099,0.23172,0.13523,0.26796,0.04744,0.30942,0
