"NAME","BGX","XDQ","JD","DG","LH","NMQ","JC","MEK","HY","MNG","GQC","NQ","GLG","LBH","YS","XW","SQ","JZ","RK","HH","JZX","HN","XH","LT","LX","DY","JEM","HZ","GL","DL","YZ"
"BGX",0,0.135189,0.069427,0.116807,0.143515,0.308085,0.142106,0.474665,0.144524,0.144524,0.109878,0.270441,0.109034,0.415074,0.137451,0.00732299999999997,0.144451,0.144331,0.126483,0.137624,0.144524,0.106785,0.144523,0.144288,0.144318,0.14351,0.00444,0.143999,0.0545640000000001,0.144427,0.176428
"XDQ",0.135189,0,0.065762,0.018382,0.00832599999999994,0.443274,0.277295,0.609854,0.00933499999999998,0.00933499999999998,0.245067,0.40563,0.026155,0.550263,0.00226199999999999,0.127866,0.00926199999999999,0.00914199999999998,0.00870599999999999,0.00243499999999996,0.00933499999999998,0.028404,0.00933399999999995,0.00909899999999997,0.00912899999999994,0.00832100000000002,0.130749,0.00880999999999998,0.189753,0.00923799999999997,0.311617
"JD",0.069427,0.065762,0,0.04738,0.0740879999999999,0.377512,0.211533,0.544092,0.075097,0.075097,0.179305,0.339868,0.0396069999999999,0.484501,0.068024,0.062104,0.075024,0.074904,0.057056,0.068197,0.075097,0.037358,0.0750959999999999,0.074861,0.0748909999999999,0.074083,0.064987,0.074572,0.123991,0.075,0.245855
"DG",0.116807,0.018382,0.04738,0,0.026708,0.424892,0.258913,0.591472,0.027717,0.027717,0.226685,0.387248,0.00777300000000003,0.531881,0.020644,0.109484,0.027644,0.027524,0.00967600000000002,0.020817,0.027717,0.010022,0.027716,0.027481,0.027511,0.026703,0.112367,0.027192,0.171371,0.02762,0.293235
"LH",0.143515,0.00832599999999994,0.0740879999999999,0.026708,0,0.4516,0.285621,0.61818,0.00100900000000004,0.00100900000000004,0.253393,0.413956,0.034481,0.558589,0.00606399999999996,0.136192,0.000936000000000048,0.000816000000000039,0.0170319999999999,0.00589099999999998,0.00100900000000004,0.0367299999999999,0.00100800000000001,0.000773000000000024,0.000802999999999998,4.99999999992173e-06,0.139075,0.00048400000000004,0.198079,0.000912000000000024,0.319943
"NMQ",0.308085,0.443274,0.377512,0.424892,0.4516,0,0.165979,0.16658,0.452609,0.452609,0.198207,0.037644,0.417119,0.106989,0.445536,0.315408,0.452536,0.452416,0.434568,0.445709,0.452609,0.41487,0.452608,0.452373,0.452403,0.451595,0.312525,0.452084,0.253521,0.452512,0.131657
"JC",0.142106,0.277295,0.211533,0.258913,0.285621,0.165979,0,0.332559,0.28663,0.28663,0.032228,0.128335,0.25114,0.272968,0.279557,0.149429,0.286557,0.286437,0.268589,0.27973,0.28663,0.248891,0.286629,0.286394,0.286424,0.285616,0.146546,0.286105,0.087542,0.286533,0.034322
"MEK",0.474665,0.609854,0.544092,0.591472,0.61818,0.16658,0.332559,0,0.619189,0.619189,0.364787,0.204224,0.583699,0.059591,0.612116,0.481988,0.619116,0.618996,0.601148,0.612289,0.619189,0.58145,0.619188,0.618953,0.618983,0.618175,0.479105,0.618664,0.420101,0.619092,0.298237
"HY",0.144524,0.00933499999999998,0.075097,0.027717,0.00100900000000004,0.452609,0.28663,0.619189,0,0,0.254402,0.414965,0.03549,0.559598,0.007073,0.137201,7.29999999999897e-05,0.000192999999999999,0.018041,0.00690000000000002,0,0.037739,1.00000000002876e-06,0.000236000000000014,0.000206000000000039,0.00101399999999996,0.140084,0.000524999999999998,0.199088,9.70000000000137e-05,0.320952
"MNG",0.144524,0.00933499999999998,0.075097,0.027717,0.00100900000000004,0.452609,0.28663,0.619189,0,0,0.254402,0.414965,0.03549,0.559598,0.007073,0.137201,7.29999999999897e-05,0.000192999999999999,0.018041,0.00690000000000002,0,0.037739,1.00000000002876e-06,0.000236000000000014,0.000206000000000039,0.00101399999999996,0.140084,0.000524999999999998,0.199088,9.70000000000137e-05,0.320952
"GQC",0.109878,0.245067,0.179305,0.226685,0.253393,0.198207,0.032228,0.364787,0.254402,0.254402,0,0.160563,0.218912,0.305196,0.247329,0.117201,0.254329,0.254209,0.236361,0.247502,0.254402,0.216663,0.254401,0.254166,0.254196,0.253388,0.114318,0.253877,0.055314,0.254305,0.06655
"NQ",0.270441,0.40563,0.339868,0.387248,0.413956,0.037644,0.128335,0.204224,0.414965,0.414965,0.160563,0,0.379475,0.144633,0.407892,0.277764,0.414892,0.414772,0.396924,0.408065,0.414965,0.377226,0.414964,0.414729,0.414759,0.413951,0.274881,0.41444,0.215877,0.414868,0.094013
"GLG",0.109034,0.026155,0.0396069999999999,0.00777300000000003,0.034481,0.417119,0.25114,0.583699,0.03549,0.03549,0.218912,0.379475,0,0.524108,0.028417,0.101711,0.035417,0.035297,0.017449,0.02859,0.03549,0.00224899999999995,0.035489,0.035254,0.035284,0.0344760000000001,0.104594,0.034965,0.163598,0.035393,0.285462
"LBH",0.415074,0.550263,0.484501,0.531881,0.558589,0.106989,0.272968,0.059591,0.559598,0.559598,0.305196,0.144633,0.524108,0,0.552525,0.422397,0.559525,0.559405,0.541557,0.552698,0.559598,0.521859,0.559597,0.559362,0.559392,0.558584,0.419514,0.559073,0.36051,0.559501,0.238646
"YS",0.137451,0.00226199999999999,0.068024,0.020644,0.00606399999999996,0.445536,0.279557,0.612116,0.007073,0.007073,0.247329,0.407892,0.028417,0.552525,0,0.130128,0.00700000000000001,0.00688,0.010968,0.000172999999999979,0.007073,0.030666,0.00707199999999997,0.00683699999999998,0.00686699999999996,0.00605900000000004,0.133011,0.006548,0.192015,0.00697599999999998,0.313879
"XW",0.00732299999999997,0.127866,0.062104,0.109484,0.136192,0.315408,0.149429,0.481988,0.137201,0.137201,0.117201,0.277764,0.101711,0.422397,0.130128,0,0.137128,0.137008,0.11916,0.130301,0.137201,0.0994620000000001,0.1372,0.136965,0.136995,0.136187,0.00288299999999997,0.136676,0.061887,0.137104,0.183751
