"NAME","BGX","XDQ","JD","DG","LH","NMQ","JC","MEK","HY","MNG","GQC","NQ","GLG","LBH","YS","XW","SQ","JZ","RK","HH","JZX","HN","XH","LT","LX","DY","JEM","HZ","GL","DL","YZ"
"BGX",0,0,0.178999,0.178999,0.119697,0.142071,0.059504,0.119697,0.178999,0.119697,0.0597800000000001,0.119697,0.119697,0.119697,0.061523,0.119697,0.136502,0.119697,0.119697,0.059504,0,0.059504,0,0,0.00143000000000004,0,0.00143000000000004,0.00143000000000004,0,0,0.059504
"XDQ",0,0,0.178999,0.178999,0.119697,0.142071,0.059504,0.119697,0.178999,0.119697,0.0597800000000001,0.119697,0.119697,0.119697,0.061523,0.119697,0.136502,0.119697,0.119697,0.059504,0,0.059504,0,0,0.00143000000000004,0,0.00143000000000004,0.00143000000000004,0,0,0.059504
"JD",0.178999,0.178999,0,0,0.059302,0.036928,0.119495,0.059302,0,0.059302,0.119219,0.059302,0.059302,0.059302,0.117476,0.059302,0.042497,0.059302,0.059302,0.119495,0.178999,0.119495,0.178999,0.178999,0.177569,0.178999,0.177569,0.177569,0.178999,0.178999,0.119495
"DG",0.178999,0.178999,0,0,0.059302,0.036928,0.119495,0.059302,0,0.059302,0.119219,0.059302,0.059302,0.059302,0.117476,0.059302,0.042497,0.059302,0.059302,0.119495,0.178999,0.119495,0.178999,0.178999,0.177569,0.178999,0.177569,0.177569,0.178999,0.178999,0.119495
"LH",0.119697,0.119697,0.059302,0.059302,0,0.022374,0.0601930000000001,0,0.059302,0,0.059917,0,0,0,0.0581740000000001,0,0.016805,0,0,0.0601930000000001,0.119697,0.0601930000000001,0.119697,0.119697,0.118267,0.119697,0.118267,0.118267,0.119697,0.119697,0.0601930000000001
"NMQ",0.142071,0.142071,0.036928,0.036928,0.022374,0,0.0825670000000001,0.022374,0.036928,0.022374,0.082291,0.022374,0.022374,0.022374,0.0805480000000001,0.022374,0.00556900000000005,0.022374,0.022374,0.0825670000000001,0.142071,0.0825670000000001,0.142071,0.142071,0.140641,0.142071,0.140641,0.140641,0.142071,0.142071,0.0825670000000001
"JC",0.059504,0.059504,0.119495,0.119495,0.0601930000000001,0.0825670000000001,0,0.0601930000000001,0.119495,0.0601930000000001,0.000276000000000054,0.0601930000000001,0.0601930000000001,0.0601930000000001,0.00201899999999999,0.0601930000000001,0.076998,0.0601930000000001,0.0601930000000001,0,0.059504,0,0.059504,0.059504,0.058074,0.059504,0.058074,0.058074,0.059504,0.059504,0
"MEK",0.119697,0.119697,0.059302,0.059302,0,0.022374,0.0601930000000001,0,0.059302,0,0.059917,0,0,0,0.0581740000000001,0,0.016805,0,0,0.0601930000000001,0.119697,0.0601930000000001,0.119697,0.119697,0.118267,0.119697,0.118267,0.118267,0.119697,0.119697,0.0601930000000001
"HY",0.178999,0.178999,0,0,0.059302,0.036928,0.119495,0.059302,0,0.059302,0.119219,0.059302,0.059302,0.059302,0.117476,0.059302,0.042497,0.059302,0.059302,0.119495,0.178999,0.119495,0.178999,0.178999,0.177569,0.178999,0.177569,0.177569,0.178999,0.178999,0.119495
"MNG",0.119697,0.119697,0.059302,0.059302,0,0.022374,0.0601930000000001,0,0.059302,0,0.059917,0,0,0,0.0581740000000001,0,0.016805,0,0,0.0601930000000001,0.119697,0.0601930000000001,0.119697,0.119697,0.118267,0.119697,0.118267,0.118267,0.119697,0.119697,0.0601930000000001
"GQC",0.0597800000000001,0.0597800000000001,0.119219,0.119219,0.059917,0.082291,0.000276000000000054,0.059917,0.119219,0.059917,0,0.059917,0.059917,0.059917,0.00174299999999994,0.059917,0.076722,0.059917,0.059917,0.000276000000000054,0.0597800000000001,0.000276000000000054,0.0597800000000001,0.0597800000000001,0.05835,0.0597800000000001,0.05835,0.05835,0.0597800000000001,0.0597800000000001,0.000276000000000054
