"NAME","BGX","XDQ","JD","DG","LH","NMQ","JC","MEK","HY","MNG","GQC","NQ","GLG","LBH","YS","XW","SQ","JZ","RK","HH","JZX","HN","XH","LT","LX","DY","JEM","HZ","GL","DL","YZ"
"BGX",0,0.110622,0.102833,0.087277,0.126568,0.0546019999999999,0.082656,0.126568,0.12298,0.126568,0.226065,0.331651,0.319589,0.305015,0.080109,0.254859,0.159067,0.004942,0.120676,0.126547,0.126568,0.077008,0.11219,0.024791,0.528085,0.0789829999999999,0.126568,0.088439,0.0574159999999999,0.126568,0.236293
"XDQ",0.110622,0,0.213455,0.197899,0.0159459999999999,0.0560200000000001,0.027966,0.0159459999999999,0.012358,0.0159459999999999,0.336687,0.442273,0.430211,0.415637,0.030513,0.365481,0.269689,0.10568,0.010054,0.015925,0.0159459999999999,0.033614,0.0015679999999999,0.085831,0.638707,0.0316390000000001,0.0159459999999999,0.199061,0.0532060000000001,0.0159459999999999,0.346915
"JD",0.102833,0.213455,0,0.015556,0.229401,0.157435,0.185489,0.229401,0.225813,0.229401,0.123232,0.228818,0.216756,0.202182,0.182942,0.152026,0.056234,0.107775,0.223509,0.22938,0.229401,0.179841,0.215023,0.127624,0.425252,0.181816,0.229401,0.014394,0.160249,0.229401,0.13346
"DG",0.087277,0.197899,0.015556,0,0.213845,0.141879,0.169933,0.213845,0.210257,0.213845,0.138788,0.244374,0.232312,0.217738,0.167386,0.167582,0.07179,0.0922190000000001,0.207953,0.213824,0.213845,0.164285,0.199467,0.112068,0.440808,0.16626,0.213845,0.001162,0.144693,0.213845,0.149016
"LH",0.126568,0.0159459999999999,0.229401,0.213845,0,0.071966,0.043912,0,0.00358799999999992,0,0.352633,0.458219,0.446157,0.431583,0.0464589999999999,0.381427,0.285635,0.121626,0.0058919999999999,2.09999999999377e-05,0,0.0495599999999999,0.014378,0.101777,0.654653,0.047585,0,0.215007,0.069152,0,0.362861
"NMQ",0.0546019999999999,0.0560200000000001,0.157435,0.141879,0.071966,0,0.028054,0.071966,0.068378,0.071966,0.280667,0.386253,0.374191,0.359617,0.0255070000000001,0.309461,0.213669,0.0496599999999999,0.0660740000000001,0.071945,0.071966,0.022406,0.057588,0.0298109999999999,0.582687,0.024381,0.071966,0.143041,0.00281399999999998,0.071966,0.290895
"JC",0.082656,0.027966,0.185489,0.169933,0.043912,0.028054,0,0.043912,0.040324,0.043912,0.308721,0.414307,0.402245,0.387671,0.00254699999999997,0.337515,0.241723,0.0777139999999999,0.0380200000000001,0.043891,0.043912,0.00564799999999999,0.0295339999999999,0.0578649999999999,0.610741,0.00367300000000004,0.043912,0.171095,0.02524,0.043912,0.318949
"MEK",0.126568,0.0159459999999999,0.229401,0.213845,0,0.071966,0.043912,0,0.00358799999999992,0,0.352633,0.458219,0.446157,0.431583,0.0464589999999999,0.381427,0.285635,0.121626,0.0058919999999999,2.09999999999377e-05,0,0.0495599999999999,0.014378,0.101777,0.654653,0.047585,0,0.215007,0.069152,0,0.362861
"HY",0.12298,0.012358,0.225813,0.210257,0.00358799999999992,0.068378,0.040324,0.00358799999999992,0,0.00358799999999992,0.349045,0.454631,0.442569,0.427995,0.042871,0.377839,0.282047,0.118038,0.00230399999999997,0.00356699999999999,0.00358799999999992,0.045972,0.0107900000000001,0.098189,0.651065,0.0439970000000001,0.00358799999999992,0.211419,0.0655640000000001,0.00358799999999992,0.359273
"MNG",0.126568,0.0159459999999999,0.229401,0.213845,0,0.071966,0.043912,0,0.00358799999999992,0,0.352633,0.458219,0.446157,0.431583,0.0464589999999999,0.381427,0.285635,0.121626,0.0058919999999999,2.09999999999377e-05,0,0.0495599999999999,0.014378,0.101777,0.654653,0.047585,0,0.215007,0.069152,0,0.362861
"GQC",0.226065,0.336687,0.123232,0.138788,0.352633,0.280667,0.308721,0.352633,0.349045,0.352633,0,0.105586,0.0935239999999999,0.07895,0.306174,0.028794,0.066998,0.231007,0.346741,0.352612,0.352633,0.303073,0.338255,0.250856,0.30202,0.305048,0.352633,0.137626,0.283481,0.352633,0.010228
"NQ",0.331651,0.442273,0.228818,0.244374,0.458219,0.386253,0.414307,0.458219,0.454631,0.458219,0.105586,0,0.012062,0.026636,0.41176,0.076792,0.172584,0.336593,0.452327,0.458198,0.458219,0.408659,0.443841,0.356442,0.196434,0.410634,0.458219,0.243212,0.389067,0.458219,0.0953579999999999
"GLG",0.319589,0.430211,0.216756,0.232312,0.446157,0.374191,0.402245,0.446157,0.442569,0.446157,0.0935239999999999,0.012062,0,0.014574,0.399698,0.06473,0.160522,0.324531,0.440265,0.446136,0.446157,0.396597,0.431779,0.34438,0.208496,0.398572,0.446157,0.23115,0.377005,0.446157,0.0832959999999999
