"NAME","BGX","XDQ","JD","DG","LH","NMQ","JC","MEK","HY","MNG","GQC","NQ","GLG","LBH","YS","XW","SQ","JZ","RK","HH","JZX","HN","XH","LT","LX","DY","JEM","HZ","GL","DL","YZ"
"BGX",0,0.260798,0.491791,0.350568,0.510394,0.2490502,0.199688,0.123907,0.546961,0.493106,0.429217,0.434838,0.519603,0.408731,0.546961,0.493737,0.485312,0.515658,0.355324,0.421835,0.515003,0.327967,0.546961,0.546961,0.546961,0.546961,0.517663,0.541168,0.483375,0.546961,0.18684
"XDQ",0.260798,0,0.230993,0.08977,0.249596,0.5098482,0.460486,0.384705,0.286163,0.232308,0.168419,0.17404,0.258805,0.147933,0.286163,0.232939,0.224514,0.25486,0.094526,0.161037,0.254205,0.067169,0.286163,0.286163,0.286163,0.286163,0.256865,0.28037,0.222577,0.286163,0.073958
"JD",0.491791,0.230993,0,0.141223,0.018603,0.7408412,0.691479,0.615698,0.0551700000000001,0.00131500000000007,0.0625739999999999,0.0569529999999999,0.0278120000000001,0.0830599999999999,0.0551700000000001,0.001946,0.00647900000000001,0.0238670000000001,0.136467,0.0699559999999999,0.023212,0.163824,0.0551700000000001,0.0551700000000001,0.0551700000000001,0.0551700000000001,0.025872,0.049377,0.00841599999999998,0.0551700000000001,0.304951
"DG",0.350568,0.08977,0.141223,0,0.159826,0.5996182,0.550256,0.474475,0.196393,0.142538,0.0786490000000001,0.0842700000000001,0.169035,0.0581630000000001,0.196393,0.143169,0.134744,0.16509,0.00475599999999998,0.0712670000000001,0.164435,0.022601,0.196393,0.196393,0.196393,0.196393,0.167095,0.1906,0.132807,0.196393,0.163728
"LH",0.510394,0.249596,0.018603,0.159826,0,0.7594442,0.710082,0.634301,0.036567,0.017288,0.0811769999999999,0.075556,0.00920900000000002,0.101663,0.036567,0.016657,0.025082,0.00526400000000005,0.15507,0.0885589999999999,0.00460899999999997,0.182427,0.036567,0.036567,0.036567,0.036567,0.00726899999999997,0.030774,0.027019,0.036567,0.323554
"NMQ",0.2490502,0.5098482,0.7408412,0.5996182,0.7594442,0,0.0493622,0.1251432,0.7960112,0.7421562,0.6782672,0.6838882,0.7686532,0.6577812,0.7960112,0.7427872,0.7343622,0.7647082,0.6043742,0.6708852,0.7640532,0.5770172,0.7960112,0.7960112,0.7960112,0.7960112,0.7667132,0.7902182,0.7324252,0.7960112,0.4358902
"JC",0.199688,0.460486,0.691479,0.550256,0.710082,0.0493622,0,0.075781,0.746649,0.692794,0.628905,0.634526,0.719291,0.608419,0.746649,0.693425,0.685,0.715346,0.555012,0.621523,0.714691,0.527655,0.746649,0.746649,0.746649,0.746649,0.717351,0.740856,0.683063,0.746649,0.386528
"MEK",0.123907,0.384705,0.615698,0.474475,0.634301,0.1251432,0.075781,0,0.670868,0.617013,0.553124,0.558745,0.64351,0.532638,0.670868,0.617644,0.609219,0.639565,0.479231,0.545742,0.63891,0.451874,0.670868,0.670868,0.670868,0.670868,0.64157,0.665075,0.607282,0.670868,0.310747
"HY",0.546961,0.286163,0.0551700000000001,0.196393,0.036567,0.7960112,0.746649,0.670868,0,0.053855,0.117744,0.112123,0.027358,0.13823,0,0.053224,0.0616490000000001,0.031303,0.191637,0.125126,0.031958,0.218994,0,0,0,0,0.029298,0.00579300000000005,0.063586,0,0.360121
"MNG",0.493106,0.232308,0.00131500000000007,0.142538,0.017288,0.7421562,0.692794,0.617013,0.053855,0,0.063889,0.058268,0.026497,0.084375,0.053855,0.000630999999999937,0.00779400000000008,0.022552,0.137782,0.071271,0.0218969999999999,0.165139,0.053855,0.053855,0.053855,0.053855,0.0245569999999999,0.0480619999999999,0.00973100000000005,0.053855,0.306266
"GQC",0.429217,0.168419,0.0625739999999999,0.0786490000000001,0.0811769999999999,0.6782672,0.628905,0.553124,0.117744,0.063889,0,0.00562099999999999,0.090386,0.020486,0.117744,0.0645199999999999,0.0560949999999999,0.086441,0.0738930000000001,0.007382,0.0857859999999999,0.10125,0.117744,0.117744,0.117744,0.117744,0.0884459999999999,0.111951,0.0541579999999999,0.117744,0.242377
"NQ",0.434838,0.17404,0.0569529999999999,0.0842700000000001,0.075556,0.6838882,0.634526,0.558745,0.112123,0.058268,0.00562099999999999,0,0.084765,0.026107,0.112123,0.0588989999999999,0.0504739999999999,0.08082,0.0795140000000001,0.013003,0.0801649999999999,0.106871,0.112123,0.112123,0.112123,0.112123,0.0828249999999999,0.10633,0.0485369999999999,0.112123,0.247998
"GLG",0.519603,0.258805,0.0278120000000001,0.169035,0.00920900000000002,0.7686532,0.719291,0.64351,0.027358,0.026497,0.090386,0.084765,0,0.110872,0.027358,0.0258660000000001,0.0342910000000001,0.00394499999999998,0.164279,0.097768,0.00460000000000005,0.191636,0.027358,0.027358,0.027358,0.027358,0.00194000000000005,0.0215649999999999,0.036228,0.027358,0.332763
"LBH",0.408731,0.147933,0.0830599999999999,0.0581630000000001,0.101663,0.6577812,0.608419,0.532638,0.13823,0.084375,0.020486,0.026107,0.110872,0,0.13823,0.0850059999999999,0.0765809999999999,0.106927,0.0534070000000001,0.013104,0.106272,0.0807640000000001,0.13823,0.13823,0.13823,0.13823,0.108932,0.132437,0.0746439999999999,0.13823,0.221891
"YS",0.546961,0.286163,0.0551700000000001,0.196393,0.036567,0.7960112,0.746649,0.670868,0,0.053855,0.117744,0.112123,0.027358,0.13823,0,0.053224,0.0616490000000001,0.031303,0.191637,0.125126,0.031958,0.218994,0,0,0,0,0.029298,0.00579300000000005,0.063586,0,0.360121
"XW",0.493737,0.232939,0.001946,0.143169,0.016657,0.7427872,0.693425,0.617644,0.053224,0.000630999999999937,0.0645199999999999,0.0588989999999999,0.0258660000000001,0.0850059999999999,0.053224,0,0.00842500000000002,0.0219210000000001,0.138413,0.0719019999999999,0.021266,0.16577,0.053224,0.053224,0.053224,0.053224,0.023926,0.047431,0.010362,0.053224,0.306897
"SQ",0.485312,0.224514,0.00647900000000001,0.134744,0.025082,0.7343622,0.685,0.609219,0.0616490000000001,0.00779400000000008,0.0560949999999999,0.0504739999999999,0.0342910000000001,0.0765809999999999,0.0616490000000001,0.00842500000000002,0,0.0303460000000001,0.129988,0.0634769999999999,0.029691,0.157345,0.0616490000000001,0.0616490000000001,0.0616490000000001,0.0616490000000001,0.032351,0.055856,0.00193699999999997,0.0616490000000001,0.298472
"JZ",0.515658,0.25486,0.0238670000000001,0.16509,0.00526400000000005,0.7647082,0.715346,0.639565,0.031303,0.022552,0.086441,0.08082,0.00394499999999998,0.106927,0.031303,0.0219210000000001,0.0303460000000001,0,0.160334,0.093823,0.000655000000000072,0.187691,0.031303,0.031303,0.031303,0.031303,0.00200499999999992,0.0255099999999999,0.0322830000000001,0.031303,0.328818
"RK",0.355324,0.094526,0.136467,0.00475599999999998,0.15507,0.6043742,0.555012,0.479231,0.191637,0.137782,0.0738930000000001,0.0795140000000001,0.164279,0.0534070000000001,0.191637,0.138413,0.129988,0.160334,0,0.0665110000000001,0.159679,0.027357,0.191637,0.191637,0.191637,0.191637,0.162339,0.185844,0.128051,0.191637,0.168484
"HH",0.421835,0.161037,0.0699559999999999,0.0712670000000001,0.0885589999999999,0.6708852,0.621523,0.545742,0.125126,0.071271,0.007382,0.013003,0.097768,0.013104,0.125126,0.0719019999999999,0.0634769999999999,0.093823,0.0665110000000001,0,0.0931679999999999,0.0938680000000001,0.125126,0.125126,0.125126,0.125126,0.0958279999999999,0.119333,0.0615399999999999,0.125126,0.234995
"JZX",0.515003,0.254205,0.023212,0.164435,0.00460899999999997,0.7640532,0.714691,0.63891,0.031958,0.0218969999999999,0.0857859999999999,0.0801649999999999,0.00460000000000005,0.106272,0.031958,0.021266,0.029691,0.000655000000000072,0.159679,0.0931679999999999,0,0.187036,0.031958,0.031958,0.031958,0.031958,0.00266,0.026165,0.031628,0.031958,0.328163
"HN",0.327967,0.067169,0.163824,0.022601,0.182427,0.5770172,0.527655,0.451874,0.218994,0.165139,0.10125,0.106871,0.191636,0.0807640000000001,0.218994,0.16577,0.157345,0.187691,0.027357,0.0938680000000001,0.187036,0,0.218994,0.218994,0.218994,0.218994,0.189696,0.213201,0.155408,0.218994,0.141127
