Name,Longitude,Latitude,Sample_Siz,Sampling_s
BGX,100.234514,29.952597,5,Bengexiang Lixian
XDQ,101.467797,30.025433,5,Xinduqiao Yajiang
JD,97.996519,31.299408,7,Qingnidongxiang Jiangda
DG,99.174789,31.957847,7,Manigange Dege
LH,100.528172,31.495625,5,Dengdacun Luhuoxian
NMQ,101.220474,32.209751,5,Nanmoqie Rangtangxian
JC,101.742714,31.7653,5,Taiyanghe Jinchuanxian
MEK,102.208039,31.815094,5,Maerkang
HY,102.365413,32.503718,4,Hongyuanxian
MNG,103.61395,32.5185,3,Mounigou Songpanxian
GQC,96.410233,32.526118,8,Gaoqiangcun Yushuxian
NQ,96.487644,32.893,5,Bazhaxiang Nangqianxian
GLG,96.658,32.893,5,Galaga Yushu
LBH,96.600997,33.192,6,Longbaohu Yushu
YS,96.998484,32.988265,5,Yushu
XW,97.382426,33.116086,5,Xiewuzheng Yushu
SQ,97.811897,33.1366,7,Sexuzheng Shiqu
JZ,101.503028,33.488444,8,Jiuzhixian
RK,103.004916,33.569406,3,Ruoergaixian
HH,102.877618,33.925334,5,Huahu Ruoergaixian
JZX,102.780025,34.119103,3,"Jiangzaxiang Ruoer	gaixian"
HN,101.609459,34.74736,4,Henanxian
XH,102.461404,35.140853,3,Xiahexian
LT,103.349375,34.713169,4,Lintanxian
LX,103.253256,35.652303,3,Ningxiashi
DY,101.070442,36.843636,5,Daoyangcun Haiyan
JEM,99.555486,37.148417,5,Jiermangxiang Gangchaxian
HZ,102.331147,37.03085,5,Huzhuxian
GL,102.870858,37.275694,5,Gulangxian
DL,101.074144,37.672594,3,Duolongxiang Qilianxian
YZ,100.930189,38.378472,5,Yaozhaicun Zhangye
