number,X,Y
GYLW1,99.174789,31.957847
GYLW1,97.996519,31.299408
GYLW1,96.487644,32.893
GYLW1,96.658,32.893
GYLW1,96.600997,33.192
GYLW1,97.811897,33.1366
GYLW1,101.284069,36.652094
GYLW1,101.070442,36.843636
GYLW1,99.555486,37.148417
GYLW1,101.074144,37.672594
GYLW1,101.199006,37.62095
GYLW1,100.930189,38.378472
GYLW1,102.435414,37.732036
GYLW1,102.870858,37.275694
GYLW1,102.331147,37.03085
GYLW1,102.395744,36.432297
GYLW1,103.253256,35.652303
GYLW1,103.152819,34.564464
GYLW1,103.349375,34.713169
GYLW1,101.503028,33.488444
GYLW1,102.780025,34.119103
GYLW1,102.208039,31.815094
GYLW1,101.742714,31.7653
GYLW1,100.528172,31.495625
GYLW1,100.234514,29.952597
GYLW1,101.467797,30.025433
GYLW1,96.99848413,32.98826477
GYLW1,96.36850834,32.96683518
GYLW1,101.3987982,36.03379582
GYLW1,101.6094589,34.74736047
GYLW1,102.4713278,34.594339
GYLW1,101.4663363,35.04268139
GYLW1,102.4614036,35.14085335
GYLW1,100.1534271,36.54329449
GYLW1,103.0049157,33.56940649
GYLW1,97.38242626,33.11608602
GYLW1,96.41023278,32.52611836
GYLW1,101.2204742,32.20975101
GYLW1,104.188242,33.15076552
GYLW1,103.9164167,31.71636111
GYLW1,103.61395,32.5185
GYLW1,102.3654127,32.50371772
GYLW1,102.8776181,33.92533446
GYLW1,101.5361917,34.8821211
GYLW1,103.6119444,32.5188278
GYLW1,103.6544444,32.7943194
GYLW1,102.7357778,34.0950056
GYLW1,102.9638889,33.9051528
GYLW1,102.9652778,33.6790583
GYLW1,104.7572222,33.2198694
GYLW1,104.1863889,33.1462389
GYLW1,102.6894444,34.3278556
GYLW1,102.4866667,35.0336611
GYLW1,100.3694444,35.27185
GYLW1,97.0484222,32.8514306
GYLW1,96.4226611,32.53415
GYLW1,98.5826861,32.390417
GYLW1,98.1274472,32.986594
GYLW1,101.1916667,32.280294
GYLW1,100.0419611,38.225785
GYLW1,100.9316667,38.381032
GYLW1,101.7372222,36.934753
GYLW1,101.1991667,37.621522
GYLW1,102.3127778,37.027619
GYLW1,102.9275,37.280472
GYLW1,103.3425,32.956517
GYLW1,102.3944444,36.431322
GYLW1,101.6861111,36.845456
GYLW1,97.06844,32.87873
GYLW1,100.396462,38.153839
GYLW1,104.003405,35.780093
GYLW1,99.779527,36.729143
GYLW1,104.191024,32.508892
GYLW1,102.672613,33.480428
GYLW1,97.067215,33.005916
GYLW1,100.898038,36.944407
