"NAME","BGX","XDQ","JD","DG","LH","NMQ","JC","MEK","HY","MNG","GQC","NQ","GLG","LBH","YS","XW","SQ","JZ","RK","HH","JZX","HN","XH","LT","LX","DY","JEM","HZ","GL","DL","YZ"
"BGX",0,0.024591,0.00383299999999998,0.00230399999999997,0.025566,0.010031,0.111299,0.196386,0.000843000000000038,0.337047,0.00405299999999997,0.0724779999999999,0.0740029999999999,0.019668,0.025564,0.049303,0.00380999999999998,0.00112299999999999,0.073599,0.018899,0.102126,0.000368999999999953,0.0321319999999999,0.120612,0.232845,0.0499069999999999,0.02413,0.336261,0.293807,0.085657,0.00953899999999996
"XDQ",0.024591,0,0.0207580000000001,0.026895,0.000974999999999948,0.01456,0.0867079999999999,0.171795,0.0254340000000001,0.312456,0.028644,0.0478869999999999,0.0494119999999999,0.00492300000000001,0.000973000000000002,0.024712,0.020781,0.025714,0.0490079999999999,0.00569200000000003,0.0775349999999999,0.0242220000000001,0.00754099999999991,0.0960209999999999,0.208254,0.0253159999999999,0.000461000000000045,0.31167,0.269216,0.061066,0.0150520000000001
"JD",0.00383299999999998,0.0207580000000001,0,0.00613699999999995,0.021733,0.00619800000000004,0.107466,0.192553,0.00467600000000001,0.333214,0.00788599999999995,0.068645,0.07017,0.015835,0.0217310000000001,0.04547,2.29999999999952e-05,0.00495599999999996,0.069766,0.015066,0.098293,0.00346400000000002,0.028299,0.116779,0.229012,0.0460739999999999,0.020297,0.332428,0.289974,0.081824,0.00570599999999999
"DG",0.00230399999999997,0.026895,0.00613699999999995,0,0.02787,0.012335,0.113603,0.19869,0.00146099999999993,0.339351,0.001749,0.0747819999999999,0.0763069999999999,0.021972,0.027868,0.051607,0.00611399999999995,0.00118099999999999,0.0759029999999999,0.021203,0.10443,0.00267299999999993,0.0344359999999999,0.122916,0.235149,0.0522109999999999,0.026434,0.338565,0.296111,0.087961,0.0118429999999999
"LH",0.025566,0.000974999999999948,0.021733,0.02787,0,0.015535,0.0857329999999999,0.17082,0.026409,0.311481,0.029619,0.046912,0.048437,0.00589799999999996,1.99999999994649e-06,0.023737,0.021756,0.026689,0.048033,0.00666699999999998,0.07656,0.025197,0.00656599999999996,0.095046,0.207279,0.0243409999999999,0.00143599999999999,0.310695,0.268241,0.060091,0.016027
"NMQ",0.010031,0.01456,0.00619800000000004,0.012335,0.015535,0,0.101268,0.186355,0.0108740000000001,0.327016,0.014084,0.0624469999999999,0.0639719999999999,0.00963700000000001,0.015533,0.039272,0.00622100000000003,0.011154,0.063568,0.00886799999999999,0.0920949999999999,0.00966200000000006,0.0221009999999999,0.110581,0.222814,0.0398759999999999,0.014099,0.32623,0.283776,0.075626,0.000492000000000048
"JC",0.111299,0.0867079999999999,0.107466,0.113603,0.0857329999999999,0.101268,0,0.085087,0.112142,0.225748,0.115352,0.038821,0.037296,0.0916309999999999,0.0857349999999999,0.0619959999999999,0.107489,0.112422,0.0377,0.0923999999999999,0.00917299999999999,0.11093,0.079167,0.00931300000000002,0.121546,0.061392,0.0871689999999999,0.224962,0.182508,0.0256419999999999,0.10176
"MEK",0.196386,0.171795,0.192553,0.19869,0.17082,0.186355,0.085087,0,0.197229,0.140661,0.200439,0.123908,0.122383,0.176718,0.170822,0.147083,0.192576,0.197509,0.122787,0.177487,0.09426,0.196017,0.164254,0.075774,0.036459,0.146479,0.172256,0.139875,0.097421,0.110729,0.186847
"HY",0.000843000000000038,0.0254340000000001,0.00467600000000001,0.00146099999999993,0.026409,0.0108740000000001,0.112142,0.197229,0,0.33789,0.00320999999999994,0.073321,0.074846,0.0205110000000001,0.0264070000000001,0.050146,0.00465300000000002,0.000279999999999947,0.074442,0.019742,0.102969,0.00121199999999999,0.032975,0.121455,0.233688,0.05075,0.024973,0.337104,0.29465,0.0865,0.010382
"MNG",0.337047,0.312456,0.333214,0.339351,0.311481,0.327016,0.225748,0.140661,0.33789,0,0.3411,0.264569,0.263044,0.317379,0.311483,0.287744,0.333237,0.33817,0.263448,0.318148,0.234921,0.336678,0.304915,0.216435,0.104202,0.28714,0.312917,0.000786000000000009,0.04324,0.25139,0.327508
