"NAME","BGX","XDQ","JD","DG","LH","NMQ","JC","MEK","HY","MNG","GQC","NQ","GLG","LBH","YS","XW","SQ","JZ","RK","HH","JZX","HN","XH","LT","LX","DY","JEM","HZ","GL","DL","YZ"
"BGX",0,0.058827,0.0195070000000001,0.065528,0.034651,0.338268,0.06175,0.395066,0.064418,0.020427,0.473702,0.424703,0.066731,0.247687,0.163937,0.292891,0.062499,0.038936,0.274852,0.423544,0.00350499999999998,0.240566,0.044019,0.340636,0.005853,0.041214,0.040568,0.059702,0.292455,0.0601080000000001,0.188886
"XDQ",0.058827,0,0.0393199999999999,0.124355,0.024176,0.397095,0.00292300000000001,0.453893,0.00559100000000001,0.0384,0.532529,0.48353,0.125558,0.306514,0.222764,0.351718,0.121326,0.019891,0.333679,0.482371,0.0623319999999999,0.299393,0.0148079999999999,0.399463,0.052974,0.017613,0.0182589999999999,0.00087500000000007,0.351282,0.00128100000000009,0.247713
"JD",0.0195070000000001,0.0393199999999999,0,0.0850350000000001,0.0151439999999999,0.357775,0.0422429999999999,0.414573,0.0449109999999999,0.000919999999999921,0.493209,0.44421,0.086238,0.267194,0.183444,0.312398,0.082006,0.0194289999999999,0.294359,0.443051,0.023012,0.260073,0.024512,0.360143,0.0136540000000001,0.0217069999999999,0.021061,0.040195,0.311962,0.040601,0.208393
"DG",0.065528,0.124355,0.0850350000000001,0,0.100179,0.27274,0.127278,0.329538,0.129946,0.085955,0.408174,0.359175,0.00120299999999995,0.182159,0.098409,0.227363,0.00302900000000006,0.104464,0.209324,0.358016,0.0620230000000001,0.175038,0.109547,0.275108,0.071381,0.106742,0.106096,0.12523,0.226927,0.125636,0.123358
"LH",0.034651,0.024176,0.0151439999999999,0.100179,0,0.372919,0.027099,0.429717,0.029767,0.014224,0.508353,0.459354,0.101382,0.282338,0.198588,0.327542,0.09715,0.00428499999999998,0.309503,0.458195,0.038156,0.275217,0.00936800000000004,0.375287,0.028798,0.00656299999999999,0.00591700000000006,0.025051,0.327106,0.0254570000000001,0.223537
"NMQ",0.338268,0.397095,0.357775,0.27274,0.372919,0,0.400018,0.056798,0.402686,0.358695,0.135434,0.086435,0.271537,0.090581,0.174331,0.045377,0.275769,0.377204,0.063416,0.085276,0.334763,0.0977020000000001,0.382287,0.00236800000000004,0.344121,0.379482,0.378836,0.39797,0.045813,0.398376,0.149382
"JC",0.06175,0.00292300000000001,0.0422429999999999,0.127278,0.027099,0.400018,0,0.456816,0.002668,0.041323,0.535452,0.486453,0.128481,0.309437,0.225687,0.354641,0.124249,0.022814,0.336602,0.485294,0.065255,0.302316,0.0177309999999999,0.402386,0.055897,0.020536,0.0211819999999999,0.00204799999999994,0.354205,0.00164199999999992,0.250636
"MEK",0.395066,0.453893,0.414573,0.329538,0.429717,0.056798,0.456816,0,0.459484,0.415493,0.078636,0.029637,0.328335,0.147379,0.231129,0.102175,0.332567,0.434002,0.120214,0.028478,0.391561,0.1545,0.439085,0.0544299999999999,0.400919,0.43628,0.435634,0.454768,0.102611,0.455174,0.20618
"HY",0.064418,0.00559100000000001,0.0449109999999999,0.129946,0.029767,0.402686,0.002668,0.459484,0,0.043991,0.53812,0.489121,0.131149,0.312105,0.228355,0.357309,0.126917,0.025482,0.33927,0.487962,0.067923,0.304984,0.0203989999999999,0.405054,0.058565,0.023204,0.0238499999999999,0.00471599999999994,0.356873,0.00430999999999993,0.253304
"MNG",0.020427,0.0384,0.000919999999999921,0.085955,0.014224,0.358695,0.041323,0.415493,0.043991,0,0.494129,0.44513,0.087158,0.268114,0.184364,0.313318,0.0829259999999999,0.018509,0.295279,0.443971,0.023932,0.260993,0.0235920000000001,0.361063,0.014574,0.020787,0.0201410000000001,0.0392750000000001,0.312882,0.0396810000000001,0.209313
