"NAME","BGX","XDQ","JD","DG","LH","NMQ","JC","MEK","HY","MNG","GQC","NQ","GLG","LBH","YS","XW","SQ","JZ","RK","HH","JZX","HN","XH","LT","LX","DY","JEM","HZ","GL","DL","YZ"
"BGX",0,0.188081,0.155771,0.000653000000000015,0.0997330000000001,0.241129,0.284678,0.346183,0.294668,0.342928,0.098387,0.124777,0.111441,0.134161,0.0852349999999999,0.046982,0.00926800000000005,0.101453,0.208996,0.152864,0.119733,0.048909,0.023794,0.0572240000000001,0.061931,0.194386,0.342868,0.133044,0.076414,0.137315,0.124702
"XDQ",0.188081,0,0.343852,0.188734,0.088348,0.053048,0.096597,0.158102,0.106587,0.154847,0.286468,0.312858,0.299522,0.322242,0.273316,0.235063,0.178813,0.086628,0.020915,0.0352170000000001,0.068348,0.23699,0.211875,0.130857,0.250012,0.00630500000000001,0.154787,0.321125,0.264495,0.325396,0.063379
"JD",0.155771,0.343852,0,0.155118,0.255504,0.3969,0.440449,0.501954,0.450439,0.498699,0.057384,0.0309940000000001,0.04433,0.02161,0.070536,0.108789,0.165039,0.257224,0.364767,0.308635,0.275504,0.106862,0.131977,0.212995,0.09384,0.350157,0.498639,0.0227270000000001,0.079357,0.018456,0.280473
"DG",0.000653000000000015,0.188734,0.155118,0,0.100386,0.241782,0.285331,0.346836,0.295321,0.343581,0.097734,0.124124,0.110788,0.133508,0.0845819999999999,0.046329,0.00992100000000007,0.102106,0.209649,0.153517,0.120386,0.048256,0.023141,0.0578770000000001,0.0612779999999999,0.195039,0.343521,0.132391,0.075761,0.136662,0.125355
"LH",0.0997330000000001,0.088348,0.255504,0.100386,0,0.141396,0.184945,0.24645,0.194935,0.243195,0.19812,0.22451,0.211174,0.233894,0.184968,0.146715,0.090465,0.00171999999999994,0.109263,0.0531309999999999,0.02,0.148642,0.123527,0.042509,0.161664,0.094653,0.243135,0.232777,0.176147,0.237048,0.024969
"NMQ",0.241129,0.053048,0.3969,0.241782,0.141396,0,0.043549,0.105054,0.053539,0.101799,0.339516,0.365906,0.35257,0.37529,0.326364,0.288111,0.231861,0.139676,0.032133,0.088265,0.121396,0.290038,0.264923,0.183905,0.30306,0.046743,0.101739,0.374173,0.317543,0.378444,0.116427
"JC",0.284678,0.096597,0.440449,0.285331,0.184945,0.043549,0,0.061505,0.00999,0.05825,0.383065,0.409455,0.396119,0.418839,0.369913,0.33166,0.27541,0.183225,0.075682,0.131814,0.164945,0.333587,0.308472,0.227454,0.346609,0.090292,0.05819,0.417722,0.361092,0.421993,0.159976
"MEK",0.346183,0.158102,0.501954,0.346836,0.24645,0.105054,0.061505,0,0.051515,0.00325499999999995,0.44457,0.47096,0.457624,0.480344,0.431418,0.393165,0.336915,0.24473,0.137187,0.193319,0.22645,0.395092,0.369977,0.288959,0.408114,0.151797,0.00331499999999996,0.479227,0.422597,0.483498,0.221481
"HY",0.294668,0.106587,0.450439,0.295321,0.194935,0.053539,0.00999,0.051515,0,0.04826,0.393055,0.419445,0.406109,0.428829,0.379903,0.34165,0.2854,0.193215,0.085672,0.141804,0.174935,0.343577,0.318462,0.237444,0.356599,0.100282,0.0482,0.427712,0.371082,0.431983,0.169966
"MNG",0.342928,0.154847,0.498699,0.343581,0.243195,0.101799,0.05825,0.00325499999999995,0.04826,0,0.441315,0.467705,0.454369,0.477089,0.428163,0.38991,0.33366,0.241475,0.133932,0.190064,0.223195,0.391837,0.366722,0.285704,0.404859,0.148542,6.00000000000045e-05,0.475972,0.419342,0.480243,0.218226
