NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,1.652694875,1.610260278,1.5250155,1.804151396,1.809463989,1.800332291,1.812352189,1.785149705,1.77077596,1.751239321,1.886477993,1.474152332,1.621099064,1.612320808,1.643086322,1.688015138,1.745359067,1.716075079,1.760818712,1.771145166,1.776596802,1.782855335,1.812016196,1.814075655,1.846032288,1.868620177,1.882653299,1.897328678,1.900841273,1.929352861
JD,1.652694875,0,1.494283549,1.637248485,1.581086559,1.600070422,1.587792987,1.614551813,1.57382456,1.568018502,1.559348526,1.827724453,1.739266769,1.699313335,1.73240058,1.76154928,1.774198232,1.838656472,1.744640236,1.82016673,1.820002555,1.819227499,1.786950194,1.83007615,1.854533922,1.871183783,1.841888372,1.879260819,1.901190686,1.871596782,1.895849275
DG,1.610260278,1.494283549,0,1.505915688,1.662366295,1.663081924,1.649057086,1.662689365,1.622772572,1.594739474,1.556829478,1.789484368,1.677335645,1.584537417,1.636711112,1.674295832,1.686815824,1.765276106,1.648912456,1.743284156,1.743933737,1.743712192,1.711135625,1.761209556,1.785839005,1.807739469,1.790418246,1.824800989,1.847061902,1.825773983,1.854525328
LH,1.5250155,1.637248485,1.505915688,0,1.768898303,1.76872027,1.75796624,1.767101947,1.737622143,1.716042295,1.688005814,1.818541388,1.550500761,1.426106614,1.475897817,1.543662793,1.586351529,1.684238278,1.596989646,1.68059771,1.689749325,1.694585407,1.692109052,1.733898056,1.743586584,1.778396556,1.79770696,1.816246676,1.834163231,1.834655806,1.866045674
GQC,1.804151396,1.581086559,1.662366295,1.768898303,0,1.222695686,1.258721676,1.351925894,1.369517051,1.457565682,1.5203692,1.812514199,1.863902964,1.799692066,1.835023975,1.858218502,1.859020162,1.917889428,1.812638492,1.887475541,1.882363271,1.878578278,1.830443745,1.874099779,1.908207141,1.91431551,1.852426478,1.90267129,1.927660634,1.876308266,1.89495818
NQ,1.809463989,1.600070422,1.663081924,1.76872027,1.222695686,0,1.064269363,1.191214384,1.294051332,1.413696618,1.493066657,1.796130061,1.865578487,1.795958357,1.832340657,1.855098026,1.854237848,1.913076778,1.80486226,1.880744892,1.874950307,1.870748204,1.819986602,1.864409546,1.900041353,1.905019081,1.839047079,1.891271024,1.916833684,1.862941626,1.881514561
GLG,1.800332291,1.587792987,1.649057086,1.75796624,1.258721676,1.064269363,0,1.180730812,1.212577006,1.371667153,1.464211026,1.790962315,1.856478171,1.785600226,1.82257523,1.845649348,1.844877617,1.904361429,1.795054475,1.872001689,1.866286935,1.862133168,1.811242111,1.856301539,1.891913798,1.897374995,1.83254391,1.88457959,1.91018613,1.857231189,1.876464067
LBH,1.812352189,1.614551813,1.662689365,1.767101947,1.351925894,1.191214384,1.180730812,0,1.260111796,1.379135714,1.469925814,1.781001246,1.865439134,1.791281598,1.828553674,1.850942572,1.848674908,1.907524029,1.796694825,1.873559952,1.867187434,1.862630866,1.809551668,1.854740535,1.891695141,1.895769067,1.826391042,1.880360064,1.906441325,1.850492687,1.869172479
YS,1.785149705,1.57382456,1.622772572,1.737622143,1.369517051,1.294051332,1.212577006,1.260111796,0,1.238699276,1.387827004,1.776326363,1.840017644,1.764686764,1.803236987,1.826784187,1.825592453,1.886364238,1.773777256,1.853273088,1.847480467,1.843278686,1.791207556,1.83783325,1.873931696,1.879981074,1.816104793,1.868394448,1.894276295,1.842376274,1.86288526
XW,1.77077596,1.568018502,1.594739474,1.716042295,1.457565682,1.413696618,1.371667153,1.379135714,1.238699276,0,1.249995761,1.76037424,1.823416456,1.741633933,1.782372116,1.806445591,1.804467952,1.866897072,1.749606415,1.832615916,1.826638821,1.82232493,1.768402686,1.81718704,1.854083621,1.860778686,1.79783115,1.850558429,1.87683623,1.826113874,1.848205878
