NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,1.414521061,1.392608957,1.332235715,1.630861122,1.743391721,1.78286161,1.823919378,1.670900533,1.75094676,1.715893453,1.929755749,1.285979711,1.410554095,1.450004463,1.479298691,1.501485694,1.647012416,1.567792589,1.607212535,1.616757136,1.623078819,1.695028869,1.694521362,1.679359277,1.724311906,1.853639378,1.853216077,1.838956647,2.197659223,1.943540435
JD,1.414521061,0,1.267631774,1.427165748,1.365548542,1.488305844,1.52620833,1.578801784,1.416643033,1.505951519,1.488281205,1.862656543,1.551305814,1.4713504,1.549180504,1.571849248,1.559472045,1.697451707,1.580934942,1.632532078,1.633757051,1.635338276,1.682235849,1.686435467,1.68331044,1.715135008,1.811825433,1.825096617,1.813184266,2.151708573,1.892445954
DG,1.392608957,1.267631774,0,1.312523014,1.487956908,1.594425291,1.62902352,1.669886937,1.504024642,1.568774684,1.509757615,1.823517065,1.502433477,1.364174547,1.458699531,1.486885243,1.472903043,1.619869494,1.487651665,1.554191296,1.55647816,1.558766185,1.606283908,1.616477409,1.612781734,1.649898073,1.757993422,1.768108232,1.756951202,2.103728655,1.850107773
LH,1.332235715,1.427165748,1.312523014,0,1.621539805,1.7279787,1.765746622,1.802891832,1.647787021,1.719888756,1.673111852,1.846896006,1.392121614,1.229649807,1.317501014,1.371948822,1.384860427,1.548851946,1.440412126,1.500365887,1.509895485,1.516410162,1.587606727,1.592739539,1.578727301,1.627185134,1.762385702,1.7608531,1.747605723,2.11020639,1.859565802
GQC,1.630861122,1.365548542,1.487956908,1.621539805,0,1.106311051,1.197178223,1.307203183,1.227708948,1.41626877,1.495994313,1.913876488,1.747057914,1.637056342,1.716500676,1.731415005,1.706153757,1.833157326,1.715198446,1.758548481,1.755427642,1.754448465,1.790910219,1.791310994,1.793555097,1.815174869,1.887912872,1.909727191,1.898057621,2.220482905,1.953780308
NQ,1.743391721,1.488305844,1.594425291,1.7279787,1.106311051,0,1.07159914,1.211153069,1.232940374,1.458901933,1.564959117,2.00333999,1.856163936,1.739840192,1.820101117,1.83417029,1.807066645,1.933008113,1.813911969,1.856991414,1.853300615,1.851984141,1.886696536,1.887152483,1.890258774,1.910787877,1.980460651,2.003715775,1.99228819,2.312823349,2.045937307
GLG,1.78286161,1.52620833,1.62902352,1.765746622,1.197178223,1.07159914,0,1.247223155,1.188463883,1.454765208,1.578603939,2.046785306,1.895401433,1.777946992,1.858729528,1.873105943,1.846169519,1.972741944,1.852712456,1.896850358,1.893275612,1.892027533,1.926672527,1.92777317,1.930858555,1.951908667,2.022537077,2.045668328,2.034381371,2.355708532,2.089623253
LBH,1.823919378,1.578801784,1.669886937,1.802891832,1.307203183,1.211153069,1.247223155,0,1.246123804,1.477258735,1.605449888,2.06166665,1.933464356,1.811206553,1.892218515,1.905465179,1.876593678,2.001516991,1.881301327,1.924141053,1.919897773,1.918253054,1.951211063,1.951777747,1.955747128,1.975238861,2.041872545,2.06662234,2.055469403,2.374159849,2.107236137
YS,1.670900533,1.416643033,1.504024642,1.647787021,1.227708948,1.232940374,1.188463883,1.246123804,0,1.185363554,1.381787766,1.936182565,1.781680327,1.659403778,1.74168378,1.756463905,1.729257651,1.856909871,1.73431113,1.780812071,1.777306151,1.776098875,1.809994705,1.812595827,1.815919556,1.837790809,1.90964846,1.932909694,1.922005861,2.244553335,1.980170785
XW,1.75094676,1.505951519,1.568774684,1.719888756,1.41626877,1.458901933,1.454765208,1.477258735,1.185363554,0,1.308356297,2.015113632,1.8590448,1.729984959,1.814226713,1.829344963,1.801503057,1.930318546,1.804309674,1.85374464,1.850235973,1.849028132,1.881731193,1.886219595,1.889952244,1.912683562,1.985785294,2.009271388,1.99883919,2.322728454,2.060308806
