NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,1.669711193,1.62419988,1.362555521,1.951114733,2.103667546,2.096901052,2.107422442,1.846069271,2.031783384,1.890068388,1.730048428,1.279376587,1.478063065,1.469087282,1.488310307,1.49424335,1.609479645,1.57917258,1.572013247,1.582212807,1.58714069,1.605867844,1.637223578,1.689503829,2.54196417,1.72229833,1.842015861,1.920578643,1.779457247,2.080997874
JD,1.669711193,0,1.516996346,1.532232963,1.702826692,1.874677363,1.866454192,1.895942634,1.620642746,1.819113741,1.694603418,1.694572059,1.651015517,1.604219032,1.641716843,1.65554444,1.619056444,1.731456597,1.64832392,1.660522354,1.660079311,1.658621782,1.641308915,1.681523658,1.753905584,2.588875057,1.715612925,1.852759576,1.936457786,1.767511305,2.063847527
DG,1.62419988,1.516996346,0,1.376309736,1.812350053,1.957886752,1.945634751,1.956213285,1.680608755,1.850949398,1.684326452,1.625647495,1.578587309,1.461914818,1.519056983,1.538820797,1.499736059,1.619966365,1.523369009,1.547837872,1.54839035,1.547710706,1.533656387,1.577149961,1.647096641,2.487005938,1.631490784,1.763289209,1.845865575,1.687825725,1.987621562
LH,1.362555521,1.532232963,1.376309736,0,1.78164061,1.925135308,1.916201805,1.920934601,1.657965257,1.83475228,1.68151167,1.490229301,1.271962716,1.135821148,1.185830733,1.233132707,1.226056531,1.361434313,1.29723014,1.31139093,1.320753213,1.325480915,1.342901888,1.378673409,1.432359905,2.287016358,1.474618081,1.59248175,1.671111238,1.534431225,1.837868659
GQC,1.951114733,1.702826692,1.812350053,1.78164061,0,1.420205346,1.482032188,1.599267153,1.416806402,1.7334709,1.71961331,1.760106168,1.905243447,1.813706825,1.855360027,1.861831479,1.80834984,1.913086495,1.817160945,1.827452624,1.821158586,1.81602293,1.779191652,1.820207156,1.904354333,2.726466422,1.810490488,1.961142723,2.048427028,1.85524255,2.145520913
NQ,2.103667546,1.874677363,1.957886752,1.925135308,1.420205346,0,1.346177455,1.509420334,1.447997859,1.80726088,1.821624756,1.878608835,2.053259322,1.951602904,1.994651884,2.000201,1.943863117,2.047720515,1.949015339,1.959631776,1.952426023,1.946722964,1.906714907,1.948179493,2.034162667,2.854480461,1.932647826,2.085253726,2.173071964,1.976784856,2.266510952
GLG,2.096901052,1.866454192,1.945634751,1.916201805,1.482032188,1.346177455,0,1.498691904,1.339244689,1.750089419,1.786379197,1.87417146,2.046105011,1.942775823,1.986352468,1.992064827,1.935683292,2.039843877,1.940520612,1.951766288,1.944617581,1.938956003,1.89898956,1.940792952,2.026649477,2.847313196,1.926810554,2.079069903,2.166813003,1.971497894,2.261647859
LBH,2.107422442,1.895942634,1.956213285,1.920934601,1.599267153,1.509420334,1.498691904,0,1.389353221,1.749124478,1.783164984,1.85166791,2.052942461,1.942259542,1.986529464,1.991223228,1.932291104,2.035335271,1.934108038,1.945014476,1.936976784,1.930755454,1.887819475,1.929724358,2.017388462,2.836083148,1.908959026,2.063355254,2.151661525,1.952620882,2.241912919
YS,1.846069271,1.620642746,1.680608755,1.657965257,1.416806402,1.447997859,1.339244689,1.389353221,0,1.324673671,1.445270099,1.6194175,1.793079309,1.683147931,1.728325756,1.734151491,1.676878852,1.78149549,1.679967076,1.692769892,1.685503129,1.679782182,1.639045524,1.681756347,1.767818702,2.588791766,1.669781487,1.821753239,1.909464734,1.715543908,2.006495163
XW,2.031783384,1.819113741,1.850949398,1.83475228,1.7334709,1.80726088,1.750089419,1.749124478,1.324673671,0,1.47340732,1.799231317,1.975863203,1.857680437,1.904828569,1.910709818,1.852208116,1.957324024,1.852940207,1.86769814,1.86024554,1.854426567,1.812590872,1.856462477,1.942851367,2.764138298,1.846799947,1.998451381,2.086137085,1.893838209,2.185724623
SQ,1.890068388,1.694603418,1.684326452,1.68151167,1.71961331,1.821624756,1.786379197,1.783164984,1.445270099,1.47340732,0,1.665204154,1.831211116,1.703459793,1.753518877,1.760052713,1.700938341,1.807489087,1.699504248,1.717638537,1.71038016,1.704716107,1.66286419,1.708446033,1.79433094,2.617171454,1.706036935,1.855950387,1.943276359,1.755385016,2.049005209
JEM,1.730048428,1.694572059,1.625647495,1.490229301,1.760106168,1.878608835,1.87417146,1.85166791,1.6194175,1.799231317,1.665204154,0,1.631598952,1.443312342,1.487398263,1.474998509,1.380681868,1.460393355,1.350624896,1.337278424,1.314925983,1.299531204,1.216846467,1.244930025,1.362646453,2.140923479,1.052800847,1.265627712,1.367072077,1.070115682,1.351418122
XDQ,1.279376587,1.651015517,1.578587309,1.271962716,1.905243447,2.053259322,2.046105011,2.052942461,1.793079309,1.975863203,1.831211116,1.631598952,0,1.343711319,1.298466079,1.308182107,1.337092175,1.447624205,1.450364951,1.428820577,1.443876751,1.451582322,1.485388404,1.512153782,1.55611756,2.415368559,1.614718001,1.728390658,1.805142174,1.673410607,1.976586171
NMQ,1.478063065,1.604219032,1.461914818,1.135821148,1.813706825,1.951602904,1.942775823,1.942259542,1.683147931,1.857680437,1.703459793,1.443312342,1.343711319,0,1.073634483,1.131396196,1.096653316,1.265160111,1.174592319,1.206692709,1.218703007,1.225546581,1.257179093,1.292188155,1.340113046,2.202648624,1.413899382,1.524361991,1.601309245,1.47661833,1.782661998
JC,1.469087282,1.641716843,1.519056983,1.185830733,1.855360027,1.994651884,1.986352468,1.986529464,1.728325756,1.904828569,1.753518877,1.487398263,1.298466079,1.073634483,0,0.980974954,1.068437346,1.236897503,1.234452488,1.214465104,1.234929895,1.246109908,1.299101399,1.323577551,1.359614173,2.228946664,1.455204757,1.560889972,1.635938216,1.517337103,1.823551093
MEK,1.488310307,1.65554444,1.538820797,1.233132707,1.861831479,2.000201,1.992064827,1.991223228,1.734151491,1.910709818,1.760052713,1.474998509,1.308182107,1.131396196,0.980974954,0,0.993827286,1.162038677,1.217809748,1.165782171,1.192740743,1.207286185,1.276825723,1.29438684,1.321244442,2.196791868,1.437870782,1.538930986,1.612412997,1.500355726,1.80730808
HY,1.49424335,1.619056444,1.499736059,1.226056531,1.80834984,1.943863117,1.935683292,1.932291104,1.676878852,1.852208116,1.700938341,1.380681868,1.337092175,1.096653316,1.068437346,0.993827286,0,1.051153964,1.093033585,1.017272884,1.051094955,1.06974415,1.159769557,1.172526171,1.19286824,2.075867499,1.335153657,1.430707247,1.502886056,1.399099069,1.707561278
MNG,1.609479645,1.731456597,1.619966365,1.361434313,1.913086495,2.047720515,2.039843877,2.035335271,1.78149549,1.957324024,1.807489087,1.460393355,1.447624205,1.265160111,1.236897503,1.162038677,1.051153964,0,1.223843736,1.027165938,1.079044582,1.105970196,1.237030325,1.221997992,1.202885862,2.10436131,1.405891963,1.488152394,1.554424189,1.468780617,1.77815104
JZ,1.57917258,1.64832392,1.523369009,1.29723014,1.817160945,1.949015339,1.940520612,1.934108038,1.679967076,1.852940207,1.699504248,1.350624896,1.450364951,1.174592319,1.234452488,1.217809748,1.093033585,1.223843736,0,1.098057161,1.090877522,1.088740738,1.094505514,1.152854993,1.217198035,2.078744878,1.303742453,1.409288545,1.486691335,1.371547483,1.681155288
RK,1.572013247,1.660522354,1.547837872,1.31139093,1.827452624,1.959631776,1.951766288,1.945014476,1.692769892,1.86769814,1.717638537,1.337278424,1.428820577,1.206692709,1.214465104,1.165782171,1.017272884,1.027165938,1.098057161,0,0.812530567,0.882414253,1.087321732,1.060439252,1.03508772,1.953343101,1.274174832,1.352026641,1.418702637,1.339159063,1.650283471
HH,1.582212807,1.660079311,1.54839035,1.320753213,1.821158586,1.952426023,1.944617581,1.936976784,1.685503129,1.86024554,1.71038016,1.314925983,1.443876751,1.218703007,1.234929895,1.192740743,1.051094955,1.079044582,1.090877522,0.812530567,0,0.742707488,1.052880994,1.014434303,0.991003139,1.916485288,1.24747987,1.322857377,1.38987132,1.313441788,1.625423228
JZX,1.58714069,1.658621782,1.547710706,1.325480915,1.81602293,1.946722964,1.938956003,1.930755454,1.679782182,1.854426567,1.704716107,1.299531204,1.451582322,1.225546581,1.246109908,1.207286185,1.06974415,1.105970196,1.088740738,0.882414253,0.742707488,0,1.028450643,0.980486982,0.970141816,1.89404412,1.229226353,1.303469252,1.371167237,1.296002521,1.60858568
HN,1.605867844,1.641308915,1.533656387,1.342901888,1.779191652,1.906714907,1.89898956,1.887819475,1.639045524,1.812590872,1.66286419,1.216846467,1.485388404,1.257179093,1.299101399,1.276825723,1.159769557,1.237030325,1.094505514,1.087321732,1.052880994,1.028450643,0,0.97531853,1.120543748,1.944214406,1.144846423,1.251599239,1.335079263,1.222180736,1.536933955
XH,1.637223578,1.681523658,1.577149961,1.378673409,1.820207156,1.948179493,1.940792952,1.929724358,1.681756347,1.856462477,1.708446033,1.244930025,1.512153782,1.292188155,1.323577551,1.29438684,1.172526171,1.221997992,1.152854993,1.060439252,1.014434303,0.980486982,0.97531853,0,1.00958015,1.80961761,1.152424045,1.213186745,1.287151822,1.224133566,1.541094722
LT,1.689503829,1.753905584,1.647096641,1.432359905,1.904354333,2.034162667,2.026649477,2.017388462,1.767818702,1.942851367,1.79433094,1.362646453,1.55611756,1.340113046,1.359614173,1.321244442,1.19286824,1.202885862,1.217198035,1.03508772,0.991003139,0.970141816,1.120543748,1.00958015,0,1.834336502,1.281001047,1.331855258,1.389440446,1.344847603,1.65851373
LX,2.54196417,2.588875057,2.487005938,2.287016358,2.726466422,2.854480461,2.847313196,2.836083148,2.588791766,2.764138298,2.617171454,2.140923479,2.415368559,2.202648624,2.228946664,2.196791868,2.075867499,2.10436131,2.078744878,1.953343101,1.916485288,1.89404412,1.944214406,1.80961761,1.834336502,0,2.039950417,2.046391372,2.088443397,2.099140162,2.415560909
DY,1.72229833,1.715612925,1.631490784,1.474618081,1.810490488,1.932647826,1.926810554,1.908959026,1.669781487,1.846799947,1.706036935,1.052800847,1.614718001,1.413899382,1.455204757,1.437870782,1.335153657,1.405891963,1.303742453,1.274174832,1.24747987,1.229226353,1.144846423,1.152424045,1.281001047,2.039950417,0,1.108056376,1.225521135,0.958338282,1.312633812
HZ,1.842015861,1.852759576,1.763289209,1.59248175,1.961142723,2.085253726,2.079069903,2.063355254,1.821753239,1.998451381,1.855950387,1.265627712,1.728390658,1.524361991,1.560889972,1.538930986,1.430707247,1.488152394,1.409288545,1.352026641,1.322857377,1.303469252,1.251599239,1.213186745,1.331855258,2.046391372,1.108056376,0,1.023641482,1.12849894,1.457668823
GL,1.920578643,1.936457786,1.845865575,1.671111238,2.048427028,2.173071964,2.166813003,2.151661525,1.909464734,2.086137085,1.943276359,1.367072077,1.805142174,1.601309245,1.635938216,1.612412997,1.502886056,1.554424189,1.486691335,1.418702637,1.38987132,1.371167237,1.335079263,1.287151822,1.389440446,2.088443397,1.225521135,1.023641482,0,1.238245993,1.557985496
DL,1.779457247,1.767511305,1.687825725,1.534431225,1.85524255,1.976784856,1.971497894,1.952620882,1.715543908,1.893838209,1.755385016,1.070115682,1.673410607,1.47661833,1.517337103,1.500355726,1.399099069,1.468780617,1.371547483,1.339159063,1.313441788,1.296002521,1.222180736,1.224133566,1.344847603,2.099140162,0.958338282,1.12849894,1.238245993,0,1.160336338
YZ,2.080997874,2.063847527,1.987621562,1.837868659,2.145520913,2.266510952,2.261647859,2.241912919,2.006495163,2.185724623,2.049005209,1.351418122,1.976586171,1.782661998,1.823551093,1.80730808,1.707561278,1.77815104,1.681155288,1.650283471,1.625423228,1.60858568,1.536933955,1.541094722,1.65851373,2.415560909,1.312633812,1.457668823,1.557985496,1.160336338,0
