NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,1.590883551,1.530141957,1.399903856,2.069371333,1.989733723,1.778470744,1.84082189,1.711068119,1.851580909,1.755356995,2.033000444,1.322573233,1.710938691,1.520433372,1.767614097,1.595505974,1.669498012,1.645248897,1.800302409,1.978504988,1.749811133,1.875512808,1.794501511,1.974932398,1.791344508,1.945330518,1.92172015,2.066844492,1.98076098,2.208154776
JD,1.590883551,0,1.466807994,1.601719012,1.898008226,1.831138314,1.616291734,1.69440652,1.549790988,1.697492282,1.619680311,2.061812902,1.69861456,1.881758638,1.737505224,1.984640274,1.780740006,1.866540225,1.768310027,1.961094451,2.129751038,1.895031117,1.974589734,1.913285638,2.120647119,1.921740702,2.016798457,2.020306725,2.174571955,2.045125365,2.263964492
DG,1.530141957,1.466807994,0,1.428548513,1.968056832,1.881685529,1.665097342,1.7286216,1.584254149,1.709660356,1.589529761,1.986467218,1.61388324,1.726490039,1.606475318,1.864083573,1.658234944,1.761936974,1.631839255,1.84873749,2.017332793,1.782733168,1.859086625,1.80695196,2.015946788,1.821241601,1.92505196,1.925974335,2.080430597,1.960231378,2.183972694
LH,1.399903856,1.601719012,1.428548513,0,2.058288407,1.971842859,1.758732448,1.817402367,1.684741534,1.817112313,1.707353759,1.973786821,1.433465696,1.503503755,1.380494627,1.673272571,1.499003581,1.623897157,1.526261307,1.729804008,1.906477223,1.677014995,1.790233917,1.726384628,1.916865924,1.736050638,1.882092137,1.864115314,2.012762644,1.922222221,2.151759549
GQC,2.069371333,1.898008226,1.968056832,2.058288407,0,1.648608604,1.482071299,1.641062297,1.561284208,1.80423849,1.819308635,2.336952011,2.147536921,2.301790671,2.161451221,2.402349742,2.185434746,2.267798272,2.15066195,2.347313461,2.510717097,2.272503384,2.327677778,2.270982774,2.493498848,2.282429014,2.333392674,2.356184944,2.516168323,2.351354698,2.560652345
NQ,1.989733723,1.831138314,1.881685529,1.971842859,1.648608604,0,1.183181324,1.380789862,1.396565352,1.667910273,1.699120062,2.229237831,2.064165271,2.211398594,2.072620303,2.313194416,2.09434847,2.177239531,2.055489504,2.25406008,2.416664424,2.177924249,2.22901843,2.173718633,2.398698158,2.186059841,2.23087064,2.256526201,2.417421352,2.24803148,2.456487567
GLG,1.778470744,1.616291734,1.665097342,1.758732448,1.482071299,1.183181324,0,1.175610721,1.120732242,1.422597211,1.467239967,2.021951876,1.852924147,1.998687376,1.860524583,2.101415243,1.882598757,1.966101488,1.843261508,2.042810199,2.205462601,1.966760952,2.017794814,1.963037375,2.187927936,1.975672034,2.021697365,2.046944493,2.207768746,2.039697404,2.24880817
LBH,1.84082189,1.69440652,1.7286216,1.817402367,1.641062297,1.380789862,1.175610721,0,1.203486707,1.478458175,1.519583832,2.054867525,1.911961453,2.053271788,1.915752175,2.155961492,1.935371641,2.01862382,1.892886832,2.093042155,2.254918136,2.015696782,2.063061846,2.009001389,2.236224587,2.022137595,2.061303961,2.089599683,2.251328826,2.077780195,2.285517038
YS,1.711068119,1.549790988,1.584254149,1.684741534,1.561284208,1.396565352,1.120732242,1.203486707,0,1.219606279,1.328211968,1.95214422,1.783961155,1.923804528,1.787577687,2.028989378,1.809451087,1.89445091,1.767430301,1.969862792,2.132304013,1.8934788,1.942776679,1.889753978,2.115407911,1.903372274,1.949683471,1.975129827,2.136147942,1.969194372,2.179388014
XW,1.851580909,1.697492282,1.709660356,1.817112313,1.80423849,1.667910273,1.422597211,1.478458175,1.219606279,0,1.339883083,2.089169429,1.922222573,2.054570824,1.920778172,2.162764992,1.942232013,2.029055537,1.896676993,2.102794263,2.264952434,2.025961574,2.072998158,2.022202959,2.248840012,2.03706617,2.083752892,2.109425441,2.270684066,2.105147528,2.31666598
SQ,1.755356995,1.619680311,1.589529761,1.707353759,1.819308635,1.699120062,1.467239967,1.519583832,1.328211968,1.339883083,0,1.991960207,1.822250642,1.942093833,1.812537151,2.055591783,1.833569182,1.923601344,1.782267743,1.994848204,2.156664408,1.917490067,1.961417309,1.914323687,2.142154813,1.931208427,1.98001104,2.005347456,2.166811753,2.004721064,2.218582338
JEM,2.033000444,2.061812902,1.986467218,1.973786821,2.336952011,2.229237831,2.021951876,2.054867525,1.95214422,2.089169429,1.991960207,0,2.047930245,2.141671688,1.998734582,2.219270761,1.965656309,2.024385997,1.891022957,2.055861922,2.200084299,1.948650567,1.937667034,1.855225122,2.135992256,1.860351673,1.634449244,1.786047268,1.977071077,1.560314,1.742439397
XDQ,1.322573233,1.69861456,1.61388324,1.433465696,2.147536921,2.064165271,1.852924147,1.911961453,1.783961155,1.922222573,1.822250642,2.047930245,0,1.690595018,1.457474966,1.691404507,1.541684636,1.603860966,1.629511529,1.758185274,1.941706686,1.716205488,1.864955775,1.773033244,1.940220609,1.763784107,1.94343575,1.9080542,2.049102925,1.981277383,2.211986175
NMQ,1.710938691,1.881758638,1.726490039,1.503503755,2.301790671,2.211398594,1.998687376,2.053271788,1.923804528,2.054570824,1.942093833,2.141671688,1.690595018,0,1.424525065,1.746000824,1.547260322,1.741726198,1.585841658,1.828672912,2.008420796,1.78135981,1.908823401,1.850989485,2.039176043,1.868840225,2.031830309,2.007849127,2.156106469,2.077511535,2.311327768
JC,1.520433372,1.737505224,1.606475318,1.380494627,2.161451221,2.072620303,1.860524583,1.915752175,1.787577687,1.920778172,1.812537151,1.998734582,1.457474966,1.424525065,0,1.369373415,1.319857656,1.514646663,1.479802441,1.64426838,1.833686615,1.611670435,1.770373351,1.691641422,1.862293463,1.697773114,1.882233819,1.847732938,1.991484528,1.926201244,2.160539643
MEK,1.767614097,1.984640274,1.864083573,1.673272571,2.402349742,2.313194416,2.101415243,2.155961492,2.028989378,2.162764992,2.055591783,2.219270761,1.691404507,1.746000824,1.369373415,0,1.453097688,1.661341268,1.701670781,1.820234058,2.017929245,1.800207943,1.982355071,1.892128986,2.050981953,1.893231753,2.094576795,2.052538912,2.193610885,2.138926245,2.374632072
HY,1.595505974,1.780740006,1.658234944,1.499003581,2.185434746,2.09434847,1.882598757,1.935371641,1.809451087,1.942232013,1.833569182,1.965656309,1.541684636,1.547260322,1.319857656,1.453097688,0,1.377785418,1.39416007,1.484879971,1.695815381,1.485323106,1.697534982,1.607159101,1.761416417,1.617118371,1.830430512,1.785124769,1.926714977,1.878216485,2.116458206
MNG,1.669498012,1.866540225,1.761936974,1.623897157,2.267798272,2.177239531,1.966101488,2.01862382,1.89445091,2.029055537,1.923601344,2.024385997,1.603860966,1.741726198,1.514646663,1.661341268,1.377785418,0,1.556956289,1.500773993,1.724608646,1.520256965,1.774865025,1.639440709,1.748562083,1.615339205,1.875052293,1.807449571,1.938849081,1.919583652,2.159336603
JZ,1.645248897,1.768310027,1.631839255,1.526261307,2.15066195,2.055489504,1.843261508,1.892886832,1.767430301,1.896676993,1.782267743,1.891022957,1.629511529,1.585841658,1.479802441,1.701670781,1.39416007,1.556956289,0,1.54398523,1.698323891,1.459234213,1.544375125,1.539170719,1.757477283,1.593050257,1.75714569,1.735748463,1.889557683,1.814389985,2.054624023
RK,1.800302409,1.961094451,1.84873749,1.729804008,2.347313461,2.25406008,2.042810199,2.093042155,1.969862792,2.102794263,1.994848204,2.055861922,1.758185274,1.828672912,1.64426838,1.820234058,1.484879971,1.500773993,1.54398523,0,1.432644797,1.320939889,1.746605723,1.599761632,1.688045825,1.613080871,1.890836016,1.823471742,1.960646927,1.943066319,2.187224795
HH,1.978504988,2.129751038,2.017332793,1.906477223,2.510717097,2.416664424,2.205462601,2.254918136,2.132304013,2.264952434,2.156664408,2.200084299,1.941706686,2.008420796,1.833686615,2.017929245,1.695815381,1.724608646,1.698323891,1.432644797,0,1.254489455,1.869173995,1.705968621,1.788842302,1.738613776,2.027359282,1.958220646,2.097250727,2.082441837,2.328480236
JZX,1.749811133,1.895031117,1.782733168,1.677014995,2.272503384,2.177924249,1.966760952,2.015696782,1.8934788,2.025961574,1.917490067,1.948650567,1.716205488,1.78135981,1.611670435,1.800207943,1.485323106,1.520256965,1.459234213,1.320939889,1.254489455,0,1.601462747,1.422257174,1.516758527,1.475222041,1.770300346,1.700366784,1.841199233,1.827640103,2.075060291
HN,1.875512808,1.974589734,1.859086625,1.790233917,2.327677778,2.22901843,2.017794814,2.063061846,1.942776679,2.072998158,1.961417309,1.937667034,1.864955775,1.908823401,1.770373351,1.982355071,1.697534982,1.774865025,1.544375125,1.746605723,1.869173995,1.601462747,0,1.484336435,1.843184836,1.622644281,1.748436701,1.739187466,1.909883758,1.832134717,2.08511587
