NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,2.827535757,3.333168507,3.010918098,3.415175035,3.41215632,3.324887833,3.511117865,3.249281211,3.361132443,3.606121442,4.166469883,2.733368866,6.451613838,4.772245348,3.883860596,3.070590148,3.242682728,3.2931568,3.516068957,3.484810751,3.284852143,3.317157229,3.243759972,3.190138761,3.04762674,3.495059632,3.575440867,3.464514409,3.893215917,4.165558633
JD,2.827535757,0,2.46212651,2.906741944,2.258560001,2.286172258,2.191926363,2.404410999,2.116213044,2.240076023,2.511292481,3.754245789,2.936978845,6.26845714,4.69112894,3.789491389,2.915884947,3.105117593,3.028367139,3.310457816,3.258866822,3.049700014,3.015100925,2.974907418,2.960359225,2.801432002,3.159555133,3.2834176,3.188971772,3.553493433,3.809213021
DG,3.333168507,2.46212651,0,3.101849793,3.078441548,3.060137314,2.963159176,3.154924297,2.855127127,2.932970237,3.105178086,4.200736892,3.360883486,6.542775613,5.027754964,4.152716557,3.278515983,3.507066853,3.36753892,3.700135757,3.647710231,3.440291556,3.403157392,3.3800522,3.370038628,3.217161511,3.585162142,3.706134917,3.613899798,3.988430855,4.255128915
LH,3.010918098,2.906741944,3.101849793,0,3.423070908,3.402091867,3.314049507,3.491650034,3.228180013,3.326927581,3.547615674,3.969022249,2.798121107,5.817422545,4.305720598,3.543825722,2.74024405,3.041051104,2.926113456,3.269506596,3.233684657,3.036967415,3.055489098,3.02250538,2.989800356,2.855715828,3.290294383,3.380294965,3.279159394,3.700499815,3.982795638
GQC,3.415175035,2.258560001,3.078441548,3.423070908,0,1.506292333,1.479352353,1.78408876,1.674575826,1.960546702,2.41468876,3.977551341,3.427214106,6.69913268,5.134420123,4.217963043,3.320148232,3.50551344,3.392022548,3.681180543,3.619457128,3.404816879,3.3353675,3.305268248,3.310840562,3.14006733,3.440831114,3.592005435,3.506341282,3.827864805,4.06894604
NQ,3.41215632,2.286172258,3.060137314,3.402091867,1.506292333,0,1.072929766,1.362954084,1.453187825,1.792531825,2.282029474,3.914441063,3.409720278,6.66672905,5.106257263,4.188378296,3.286279055,3.47299173,3.349359245,3.642508297,3.578815692,3.363238248,3.286524129,3.259845378,3.269636882,3.097093075,3.387674393,3.544097495,3.460459392,3.775070363,4.01555593
GLG,3.324887833,2.191926363,2.963159176,3.314049507,1.479352353,1.072929766,0,1.328269447,1.279915331,1.657025169,2.159259051,3.83723286,3.324178941,6.580805196,5.020874953,4.10361678,3.202009415,3.389414555,3.265353333,3.559437826,3.495965027,3.280553471,3.204471144,3.178118761,3.187508791,3.015450478,3.307983466,3.463563709,3.379768358,3.696056485,3.937527642
LBH,3.511117865,2.404410999,3.154924297,3.491650034,1.78408876,1.362954084,1.328269447,0,1.466632941,1.810290534,2.315554882,3.978136055,3.500335774,6.74925123,5.190983978,4.272142671,3.367528688,3.554841708,3.425567137,3.720805485,3.655958348,3.439821261,3.358812762,3.334097631,3.346358733,3.17275346,3.457310352,3.616851534,3.534411818,3.84496856,4.085174276
YS,3.249281211,2.116213044,2.855127127,3.228180013,1.674575826,1.453187825,1.279915331,1.466632941,0,1.317464662,1.897506489,3.761644714,3.246355384,6.495161709,4.938632531,4.022362719,3.120122199,3.309967699,3.180166371,3.478607426,3.414848689,3.199466977,3.121877222,3.097922501,3.108087603,2.936554416,3.229904986,3.385477255,3.302128855,3.619889085,3.863639174
XW,3.361132443,2.240076023,2.932970237,3.326927581,1.960546702,1.792531825,1.657025169,1.810290534,1.317464662,0,1.655097926,3.868167525,3.353673345,6.592122393,5.039910994,4.124507173,3.221069168,3.413738713,3.276371358,3.580282073,3.516035155,3.300613534,3.220775487,3.199838763,3.211172533,3.040117874,3.333833649,3.489632535,3.406882122,3.725864423,3.971929699
