NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,1.539543193,1.499281372,1.419643182,1.69658369,1.695336969,1.68641746,1.697176354,1.672289636,1.654641762,1.6898201,1.806244492,1.374158252,1.569821518,1.505530336,1.533689154,1.597487534,1.634838985,1.610769302,1.719597094,1.719946152,1.693116498,1.688507682,1.7005542,1.704959668,1.736890898,1.767871219,1.778305671,1.79628317,1.800487829,1.826811913
JD,1.539543193,0,1.388936077,1.525434843,1.482897132,1.494183157,1.482362285,1.506731168,1.469693024,1.460209844,1.506044246,1.747191669,1.624907199,1.644058763,1.619841199,1.6469408,1.68087511,1.72438619,1.637345106,1.777925077,1.766050142,1.732715145,1.691642537,1.717294911,1.743631497,1.760938089,1.742822059,1.774717582,1.799848699,1.77187822,1.793375048
DG,1.499281372,1.388936077,0,1.40135608,1.560678962,1.554815864,1.541229012,1.553318914,1.516624979,1.486058578,1.504084005,1.711025376,1.565925743,1.534897414,1.528591097,1.563414186,1.596992295,1.65361466,1.545455296,1.704784638,1.693883418,1.660768499,1.618595671,1.650857361,1.677414571,1.699321348,1.692420849,1.721416186,1.746586643,1.727253703,1.753110172
LH,1.419643182,1.525434843,1.40135608,0,1.664109044,1.657598333,1.647094571,1.655095098,1.627990114,1.603450383,1.630506874,1.741428815,1.446282998,1.386225238,1.377171834,1.439676137,1.500890183,1.576098461,1.496834923,1.645231634,1.644327269,1.616201073,1.601782938,1.626065633,1.638018679,1.67206889,1.699687164,1.714083668,1.73489315,1.736766249,1.765666619
GQC,1.69658369,1.482897132,1.560678962,1.664109044,0,1.149472471,1.184531747,1.270541883,1.288946831,1.367884014,1.481258883,1.745235753,1.757844092,1.753947404,1.732168418,1.753973973,1.777110149,1.815183651,1.716800167,1.857222705,1.839565523,1.803331606,1.747791952,1.774100953,1.809872353,1.817393152,1.768425587,1.812293249,1.840667115,1.791034433,1.806762958
NQ,1.695336969,1.494183157,1.554815864,1.657598333,1.149472471,0,0.995298663,1.111715722,1.210546643,1.319306023,1.448307138,1.723054921,1.753242,1.744094893,1.723367394,1.744787788,1.766372572,1.804384179,1.703052461,1.844607439,1.826141614,1.789478732,1.731458046,1.758518891,1.795793356,1.802228706,1.749418362,1.795082682,1.824012206,1.771942134,1.787515713
GLG,1.68641746,1.482362285,1.541229012,1.647094571,1.184531747,0.995298663,0,1.102885001,1.13260374,1.279095477,1.420567247,1.718032487,1.744299394,1.733924705,1.713754986,1.735462146,1.75711442,1.795734045,1.69336451,1.835979093,1.817606997,1.780972094,1.7227851,1.750448304,1.787698103,1.794569326,1.742897456,1.788341117,1.817273352,1.766236191,1.782445743
LBH,1.697176354,1.506731168,1.553318914,1.655095098,1.270541883,1.111715722,1.102885001,0,1.176313052,1.284725884,1.424590315,1.707447602,1.752268886,1.738698412,1.71886249,1.73995419,1.760217605,1.798205609,1.694272754,1.836881097,1.817726775,1.780695672,1.720477533,1.748282688,1.786862966,1.792420865,1.736413074,1.783650388,1.813073316,1.759054626,1.774651905
YS,1.672289636,1.469693024,1.516624979,1.627990114,1.288946831,1.210546643,1.13260374,1.176313052,0,1.153683898,1.348386382,1.704224034,1.728857075,1.714157509,1.695476376,1.717598366,1.73881064,1.778605736,1.673089571,1.818238324,1.799760499,1.763026662,1.703616841,1.732755043,1.770489878,1.777840313,1.727105223,1.772711945,1.801838417,1.75201025,1.769399073
XW,1.654641762,1.460209844,1.486058578,1.603450383,1.367884014,1.319306023,1.279095477,1.284725884,1.153683898,0,1.214583495,1.685094361,1.709023212,1.688118505,1.671503132,1.694092945,1.714531194,1.755842265,1.645828018,1.794477027,1.775774593,1.738866016,1.677593013,1.708766503,1.747278738,1.755156416,1.705384659,1.751291333,1.780706132,1.73228718,1.751146677
