NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,1.277622205,1.338969718,1.367011623,1.411962384,1.407513519,1.407855121,1.409453842,1.413505614,1.428533227,1.451666233,2.113045219,1.432457512,1.645552051,1.729624127,1.909371753,1.851514099,2.055409748,1.57445856,1.774187131,1.704036934,1.666245432,1.504178809,1.556628889,1.64038814,1.568635038,1.803284675,1.558118158,1.616818847,1.580212713,1.79719033
JD,1.277622205,0,1.145512852,1.359378549,1.154671262,1.157569786,1.154386375,1.165867297,1.15794423,1.176076095,1.20417793,1.966936626,1.564211834,1.598124546,1.720842413,1.894615521,1.799261598,1.999835648,1.476585042,1.692972908,1.615420478,1.573534098,1.389052202,1.449311438,1.545359011,1.465293107,1.675060444,1.440612548,1.502578763,1.449969074,1.664836985
DG,1.338969718,1.145512852,0,1.342512607,1.299677006,1.289805737,1.285531401,1.287350206,1.280667721,1.282927958,1.289341704,2.020629328,1.610927554,1.593415849,1.733033013,1.914182013,1.818312612,2.032690457,1.48843162,1.72167397,1.64452375,1.602869153,1.416007297,1.48275522,1.580806273,1.503922389,1.719717199,1.483938315,1.546619956,1.499092898,1.717199176
LH,1.367011623,1.359378549,1.342512607,0,1.482204314,1.472373519,1.470797431,1.46961563,1.470980494,1.478705368,1.493356581,2.142770552,1.596930219,1.541704353,1.676819922,1.892083995,1.834145972,2.074824317,1.550634761,1.780179787,1.710356988,1.672781186,1.50705337,1.568906668,1.657494819,1.589330944,1.826528739,1.581950013,1.642368027,1.607967354,1.828072291
GQC,1.411962384,1.154671262,1.299677006,1.482204314,0,0.887142699,0.919928976,0.978525239,1.016217231,1.105333234,1.189573086,1.974404206,1.677001216,1.690683126,1.815126663,1.981685742,1.873262626,2.064028564,1.538405136,1.749636736,1.668829046,1.625108845,1.433107975,1.491825445,1.591868567,1.505910201,1.699173544,1.47103138,1.534092983,1.469500492,1.680805863
NQ,1.407513519,1.157569786,1.289805737,1.472373519,0.887142699,0,0.76588352,0.847573853,0.947053163,1.059236374,1.156321824,1.951037603,1.669958993,1.677190109,1.802985259,1.969034999,1.858522822,2.049153521,1.520731156,1.732955408,1.651584127,1.607534142,1.41346935,1.472982283,1.574212218,1.487593261,1.678266656,1.451433109,1.514922056,1.44861636,1.659938113
GLG,1.407855121,1.154386375,1.285531401,1.470797431,0.919928976,0.76588352,0,0.846077864,0.893192415,1.034056335,1.140763646,1.952350677,1.670294534,1.67567896,1.802132396,1.968460028,1.857856701,2.049252816,1.519349189,1.732720223,1.651326556,1.607258268,1.412670963,1.472862615,1.574386389,1.487983587,1.678975581,1.452182563,1.515790772,1.449868793,1.661597178
LBH,1.409453842,1.165867297,1.287350206,1.46961563,0.978525239,0.847573853,0.846077864,0,0.917547941,1.028647376,1.134489215,1.936275031,1.669655235,1.67113313,1.798150968,1.963758899,1.85137946,2.041968841,1.510875493,1.724116909,1.642234348,1.597883225,1.401852284,1.462197874,1.564553983,1.477374405,1.665727199,1.440117935,1.5040239,1.436217711,1.64765193
YS,1.413505614,1.15794423,1.280667721,1.470980494,1.016217231,0.947053163,0.893192415,0.917547941,0,0.947347888,1.096930179,1.954063578,1.674987383,1.674669155,1.802858559,1.969546352,1.858072667,2.050910321,1.517184924,1.733151309,1.651536347,1.607329095,1.411064332,1.472857828,1.575320464,1.489148249,1.680060097,1.453697854,1.517659754,1.452050433,1.6645911
XW,1.428533227,1.176076095,1.282927958,1.478705368,1.105333234,1.059236374,1.034056335,1.028647376,0.947347888,0,1.011354764,1.962770125,1.688322833,1.680173103,1.810705003,1.977743714,1.864913172,2.059517772,1.520643294,1.740049214,1.658105513,1.613695593,1.415126772,1.479056737,1.582783292,1.496876374,1.687704213,1.461864276,1.526277072,1.4611269,1.674709499
SQ,1.451666233,1.20417793,1.289341704,1.493356581,1.189573086,1.156321824,1.140763646,1.134489215,1.096930179,1.011354764,0,1.986478798,1.709988877,1.693197834,1.826635951,1.994457335,1.880662663,2.077933821,1.532904711,1.756917853,1.674805688,1.630286832,1.429601367,1.49615514,1.601006663,1.515849887,1.708153059,1.482195401,1.546974384,1.483515985,1.698484101
JEM,2.113045219,1.966936626,2.020629328,2.142770552,1.974404206,1.951037603,1.952350677,1.936275031,1.954063578,1.962770125,1.986478798,0,2.33660468,2.290493835,2.415304275,2.562454231,2.416100909,2.573827934,2.057140513,2.231506523,2.138004378,2.086855446,1.874096218,1.908335861,2.0284922,1.909484461,1.940378894,1.796559595,1.87634081,1.674857762,1.882905641
XDQ,1.432457512,1.564211834,1.610927554,1.596930219,1.677001216,1.669958993,1.670294534,1.669655235,1.674987383,1.688322833,1.709988877,2.33660468,0,1.834742154,1.87289074,2.041866256,2.016991408,2.216955535,1.776573244,1.95876558,1.89413316,1.859258637,1.712209374,1.758916015,1.834372651,1.768092117,2.017462797,1.766211312,1.823023466,1.795572211,2.01386989
NMQ,1.645552051,1.598124546,1.593415849,1.541704353,1.690683126,1.677190109,1.67567896,1.67113313,1.674669155,1.680173103,1.693197834,2.290493835,1.834742154,0,1.705292657,1.949270024,1.867339575,2.173239233,1.605515836,1.866638627,1.801483059,1.76679586,1.613665062,1.679961591,1.767021548,1.707632413,1.960108485,1.710555116,1.771023937,1.746114415,1.969724118
JC,1.729624127,1.720842413,1.733033013,1.676819922,1.815126663,1.802985259,1.802132396,1.798150968,1.802858559,1.810705003,1.826635951,2.415304275,1.87289074,1.705292657,0,1.805584765,1.907613122,2.2291543,1.763583505,1.963136379,1.907544553,1.877390414,1.746026116,1.798967263,1.873602629,1.818692879,2.082411885,1.827644202,1.885564058,1.866447116,2.089171635
MEK,1.909371753,1.894615521,1.914182013,1.892083995,1.981685742,1.969034999,1.968460028,1.963758899,1.969546352,1.977743714,1.994457335,2.562454231,2.041866256,1.949270024,1.805584765,0,1.9502552,2.298466212,1.910251671,2.068025392,2.022413404,1.996966181,1.885909422,1.930367453,1.994918065,1.946555903,2.223350763,1.963365989,2.019536005,2.007574486,2.230899058
HY,1.851514099,1.799261598,1.818312612,1.834145972,1.873262626,1.858522822,1.857856701,1.85137946,1.858072667,1.864913172,1.880662663,2.416100909,2.016991408,1.867339575,1.907613122,1.9502552,0,2.108710121,1.712116369,1.833059767,1.80443314,1.787528787,1.708134541,1.750012269,1.808445629,1.772750092,2.065769154,1.80080181,1.856882279,1.853343145,2.079411752
