NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
BGX,0,1.651765888,1.610906449,1.523838593,1.804310272,1.810714999,1.80034955,1.813568714,1.785313422,1.77062669,1.752449961,1.887593708,1.472980988,1.620283838,1.610441741,1.641564744,1.687079835,1.744192974,1.71718392,1.759739962,1.770445528,1.776063529,1.784195128,1.811514994,1.813811151,1.845598953,1.868734983,1.882739128,1.897316962,1.901418898,1.928568911
JD,1.651765888,0,1.494998118,1.636123141,1.58122643,1.601294845,1.587778679,1.615742198,1.573958813,1.567817167,1.560507045,1.82864312,1.738200642,1.698506091,1.730480135,1.75993964,1.77311144,1.837149453,1.745621896,1.818766219,1.818971711,1.818361951,1.788042049,1.829207918,1.85381048,1.870240449,1.841683898,1.878880943,1.900630281,1.871833721,1.89472518
DG,1.610906449,1.494998118,0,1.506381859,1.664089104,1.665881703,1.650621837,1.665440314,1.624475515,1.596123025,1.559561336,1.791929473,1.677906246,1.585331973,1.63638471,1.67427575,1.687315631,1.765346028,1.651477328,1.743468216,1.744488188,1.744432037,1.713803769,1.761920717,1.786697048,1.808375474,1.791764844,1.825989422,1.848075676,1.827557939,1.854942086
LH,1.523838593,1.636123141,1.506381859,0,1.768797656,1.769698258,1.75771368,1.768031915,1.737514468,1.715625744,1.688950038,1.819183818,1.549245379,1.42505729,1.473762666,1.541818981,1.585024884,1.682532491,1.597713627,1.679011786,1.688540353,1.69354363,1.692989928,1.732865961,1.742734623,1.777349309,1.797299418,1.815739516,1.833517532,1.834691776,1.86471309
GQC,1.804310272,1.58122643,1.664089104,1.768797656,0,1.224421789,1.25925251,1.353766296,1.370362686,1.458125783,1.522366827,1.814230136,1.863972112,1.799866743,1.834099952,1.857590794,1.858865282,1.917253283,1.814516333,1.886911593,1.882153467,1.878526731,1.832356137,1.874007398,1.908241112,1.914089638,1.85298642,1.903001687,1.927775834,1.877295811,1.894581416
NQ,1.810714999,1.601294845,1.665881703,1.769698258,1.224421789,0,1.065603636,1.193860584,1.295862705,1.415260231,1.496092697,1.798860047,1.866745664,1.797201869,1.83248832,1.855539216,1.85514287,1.913491662,1.807791106,1.881225104,1.875781586,1.871736162,1.822934739,1.865348014,1.90110633,1.905816678,1.840626028,1.892618734,1.917963124,1.864945345,1.882152004
GLG,1.80034955,1.587778679,1.650621837,1.75771368,1.25925251,1.065603636,0,1.182175625,1.213069169,1.371951899,1.465980451,1.792472839,1.856414092,1.785616486,1.821495047,1.84486336,1.844557491,1.903552794,1.79675948,1.871260417,1.86589747,1.861900753,1.812969581,1.856021323,1.891760271,1.896955847,1.832904593,1.884711523,1.910101106,1.858017824,1.875884844
LBH,1.813568714,1.615742198,1.665440314,1.768031915,1.353766296,1.193860584,1.182175625,0,1.261770422,1.380570774,1.472848013,1.783622954,1.866575164,1.792467449,1.828646611,1.851326635,1.849514759,1.907866695,1.799549498,1.873961499,1.86793724,1.863535875,1.812412055,1.855588214,1.89267036,1.896470463,1.827867701,1.881605825,1.907466864,1.852392513,1.869704849
YS,1.785313422,1.573958813,1.624475515,1.737514468,1.370362686,1.295862705,1.213069169,1.261770422,0,1.238917187,1.38963953,1.777966621,1.840104047,1.764848019,1.802302041,1.82614326,1.825417003,1.885700016,1.775624388,1.852676511,1.847235551,1.843190677,1.793075621,1.837696149,1.873922819,1.879706369,1.816601856,1.868668577,1.894335392,1.843300232,1.862443082
XW,1.77062669,1.567817167,1.596123025,1.715625744,1.458125783,1.415260231,1.371951899,1.380570774,1.238917187,0,1.251378804,1.761698678,1.823200347,1.741490338,1.781131163,1.805498557,1.803987151,1.865925684,1.751148448,1.831714502,1.826089445,1.821932658,1.769965077,1.8167453,1.85376986,1.860199169,1.798017769,1.850526421,1.876590368,1.826727489,1.847452309
